name,city,priority_rank
ÖZEL NAKKAŞTEPE BAHÇEŞEHİR KOLEJİ 50. YIL FEN VE TEKNOLOJİ LİSESİ,İSTANBUL,2
ANTALYA ANADOLU LİSESİ,ANTALYA,2
PERTEVNİYAL LİSESİ,İSTANBUL,2
ÖZEL SEVGİ FEN LİSESİ,ANKARA,2
RİZE TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ,RİZE,2
ÖZKENT AKBİLEK FEN LİSESİ,ANKARA,2
YÜCEL BORU FEN LİSESİ,KOCAELİ,2
TRABZON YOMRA FEN LİSESİ,TRABZON,2
ÖZEL SAMSUN BAHÇEŞEHİR KOLEJİ ATAKUM FEN VE TEKNOLOJİ LİSESİ,SAMSUN,2
BEYOĞLU ANADOLU İMAM HATİP LİSESİ,İSTANBUL,2
ADNAN MENDERES ANADOLU LİSESİ,İSTANBUL,2
ÖZEL ADANA FEN LİSESİ,ADANA,2
NAZİLLİ FEN LİSESİ,AYDIN,2
ÖZEL SAINT JOSEPH FRANSIZ LİSESİ,İSTANBUL,2
ÖZEL ÜSKÜDAR AMERİKAN LİSESİ,İSTANBUL,2
VALİDEBAĞ FEN LİSESİ,İSTANBUL,2
MARDİN FEN LİSESİ,MARDİN,2
ÖZEL GAZİANTEP BAL ANADOLU LİSESİ,GAZİANTEP,2
NUH MEHMET KÜÇÜKÇALIK ANADOLU LİSESİ,KAYSERİ,2
PROF DR. FUAT SEZGİN FEN LİSESİ,İSTANBUL,2
ÖZEL RÜZGAR FEN LİSESİ,DİYARBAKIR,2
ERZİNCAN FEN LİSESİ,ERZİNCAN,2
YAHYA AKEL FEN LİSESİ,MERSİN,2
ÖZEL GAZİANTEP BİLFEN FEN LİSESİ,GAZİANTEP,2
KARABÜK MEHMET VERGİLİ FEN LİSESİ,KARABÜK,3
MERZİFON FEN LİSESİ,AMASYA,3
ÖZEL ORDU BAHÇEŞEHİR KOLEJİ FEN LİSESİ,ORDU,3
ÖZEL DİLTAŞ KIRKINCI YIL ANADOLU LİSESİ,KONYA,3
TED İZMİR ÖZEL ANADOLU LİSESİ,İZMİR,3
ÖZEL ÖZLÜCE TAN FEN LİSESİ,BURSA,3
OSMAN ULUBAŞ KÖŞK ANADOLU LİSESİ,KAYSERİ,3
ÖZEL İSTEK ANTALYA LARA FEN LİSESİ,ANTALYA,3
ŞEHİT İLHAN VARANK FEN LİSESİ,İSTANBUL,3
15 TEMMUZ ŞEHİTLERİ FEN LİSESİ,ÇORUM,3
ÖZEL ANTALYA KOLEJİ MURATPAŞA FEN LİSESİ,ANTALYA,3
LÜTFİ EGE ANADOLU LİSESİ,DENİZLİ,3
ÖZEL MERSİN YENİŞEHİR İZ EĞİTİM KURUMLARI FEN LİSESİ,MERSİN,3
YAŞAR KIMIL FEN LİSESİ,DENİZLİ,3
ÖZEL ROTA FEN LİSESİ,İZMİR,3
ATATÜRK ANADOLU LİSESİ,İSTANBUL,3
ÖZEL DÜZCE UĞUR FEN LİSESİ,DÜZCE,3
KIRIKKALE FEN LİSESİ,KIRIKKALE,3
GAZİ ANADOLU LİSESİ,ANKARA,3
YASEMİN ERMAN BALSU ANADOLU LİSESİ,GAZİANTEP,3
ÖZEL GAZİPAŞA FİNAL AKADEMİ ANADOLU LİSESİ,ANTALYA,3
İSTANBUL TİCARET ODASI MARMARA ANADOLU İMAM HATİP LİSESİ,İSTANBUL,3
ÖZEL MERSİN BAHÇEŞEHİR ANADOLU LİSESİ,MERSİN,3
LÜLEBURGAZ RAMAZAN YAMAN FEN LİSESİ,KIRKLARELİ,3
ÖZEL KANGURU FEN LİSESİ,MALATYA,3
ÖZEL EDİRNE BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ,EDİRNE,3
AKÇAABAT FEN LİSESİ,TRABZON,3
ÖZEL GAZİANTEP KÜLTÜR FEN LİSESİ,GAZİANTEP,3
ÖZEL KARDELEN FEN LİSESİ,NEVŞEHİR,3
ÖZEL ÇORUM BİLGİ ANADOLU LİSESİ,ÇORUM,3
PROF. DR. NECMETTİN ERBAKAN FEN LİSESİ,İSTANBUL,3
ÖZEL UZMANLAR FEN LİSESİ,YALOVA,3
ÖZEL EMİNE ÖRNEK FEN LİSESİ,BURSA,3
ÖZEL BALIKESİR AÇI FEN LİSESİ,BALIKESİR,3
ÖZEL SAMSUN FİNAL FEN LİSESİ,SAMSUN,3
ŞEHİT MUHAMMET MUSTAFA KARABÖRK FEN LİSESİ,OSMANİYE,3
ÖZEL OYA AKIN YILDIZLAR FEN LİSESİ,ANKARA,3
ÖZEL SİMYA FEN LİSESİ,GAZİANTEP,3
ÖZEL ERYAMAN SEVGİ FEN LİSESİ,ANKARA,3
ÖZEL ANKARA ABC FEN LİSESİ,ANKARA,3
ÖZEL ÇAYYOLU DOĞA FEN VE TEKNOLOJİ LİSESİ,ANKARA,3
İSTEK ÖZEL KEMAL ATATÜRK FEN LİSESİ,İSTANBUL,3
MANİSA TOBB BÜLENT KOŞMAZ FEN LİSESİ,MANİSA,3
ÖZEL ISPARTA BAHÇEŞEHİR ANADOLU LİSESİ,ISPARTA,3
ÖZEL İSTEK GAZİANTEP FEN LİSESİ,GAZİANTEP,3
ZONGULDAK FEN LİSESİ,ZONGULDAK,3
ÖZEL ELAZIĞ FİNAL FEN LİSESİ,ELAZIĞ,3
ÖZEL DOĞRU REFERANS ANADOLU LİSESİ,DENİZLİ,3
ÖZEL ANKARA ÇÖZÜM KOLEJİ FEN LİSESİ,ANKARA,3
