Rank,High School,Total Students
95,ÖZEL YENİ YOL ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),4
96,ÖZEL ANKARA ÇÖZÜM KOLEJİ ANADOLU LİSESİ (ANKARA - KEÇİÖREN),4
97,ÖZEL FIRAT İLHAN ANADOLU LİSESİ (ANKARA - GÖLBAŞI),4
98,HATAY FEN LİSESİ (HATAY - ANTAKYA),4
99,İSTANBUL ATATÜRK FEN LİSESİ (İSTANBUL - KADIKÖY),4
100,KABATAŞ ERKEK LİSESİ (İSTANBUL - BEŞİKTAŞ),4
101,MAT-FKB ÖZEL GELİŞİM FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),4
102,ÖZEL EVRE ANADOLU LİSESİ (MERSİN - YENİŞEHİR),4
103,BUCA İNCİ-ÖZER TIRNAKLI FEN LİSESİ (İZMİR - BUCA),4
104,İZMİR BÜYÜKÇİĞLİ ÖZEL TÜRK KOLEJİ FEN LİSESİ (İZMİR - ÇİĞLİ),4
105,ÖZEL GAZİANTEP NESİBE AYDIN FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),4
106,ANKARA ÜNİVERSİTESİ GELİŞTİRME VAKFI ÖZEL FEN LİSESİ (ANKARA - ÇANKAYA),4
107,KIRIKKALE FEN LİSESİ (KIRIKKALE - MERKEZ),4
108,ÖZEL ANKARA ZAFER FEN LİSESİ (ANKARA - ETİMESGUT),4
109,ÖZEL ATAYURT ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),4
110,ÖZEL BAHÇEŞEHİR ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),4
111,ÖZEL ENKA MESLEKİ VE TEKNİK ANADOLU LİSESİ (KOCAELİ - DİLOVASI),4
112,ÖZEL MATFEN ANADOLU LİSESİ (ANKARA - ÇANKAYA),4
113,ÖZEL OVACIK SINAV KOLEJİ ANADOLU LİSESİ (ANKARA - KEÇİÖREN),4
114,SAKARYA ANADOLU LİSESİ (SAKARYA - SERDİVAN),4
115,SAKARYA CEVAT AYHAN FEN LİSESİ (SAKARYA - ADAPAZARI),4
116,MENTEŞE TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (MUĞLA - MENTEŞE),4
117,ÖZEL ANKARA ÇÖZÜM KOLEJİ FEN LİSESİ (ANKARA - KEÇİÖREN),4
118,ÖZEL BİLFEN ANADOLU LİSESİ (İZMİR - BORNOVA),4
119,ÖZEL ÖNCÜ KOLEJ ÇALDIRAN ANADOLU LİSESİ (ANKARA - KEÇİÖREN),4
120,ÖZEL SAMSUN BAHÇEŞEHİR KOLEJİ ATAKUM ANADOLU LİSESİ (SAMSUN - ATAKUM),4
121,ÖZEL ÜMİTKÖY FİNAL AKADEMİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),4
122,ÖZEL İZMİR BAHÇEŞEHİR KOLEJİ ELLİNCİ YIL FEN VE TEKNOLOJİ LİSESİ (İZMİR - BORNOVA),4
123,ÖZEL PROFESYONEL EĞİTİM FEN LİSESİ (KONYA - SELÇUKLU),4
124,BETÜL CAN ANADOLU LİSESİ (ANKARA - ÇANKAYA),4
125,ÖZEL NAKKAŞTEPE BAHÇEŞEHİR KOLEJİ 50. YIL ANADOLU LİSESİ (İSTANBUL - ÜSKÜDAR),4
126,SIRRI YIRCALI ANADOLU LİSESİ (BALIKESİR - KARESİ),4
127,MEV KOLEJİ ÖZEL ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),4
128,GÜZELBAHÇE 60.YIL ANADOLU LİSESİ (İZMİR - GÜZELBAHÇE),4
129,KARTAL ANADOLU İMAM HATİP LİSESİ (İSTANBUL - KARTAL),4
130,ÖZEL YENİ ADANA ORTADOĞU ANADOLU LİSESİ (ADANA - ÇUKUROVA),4
131,ŞEHİT OĞUZHAN YAŞAR ANADOLU LİSESİ (ANKARA - ETİMESGUT),4
132,MEV KOLEJİ ÖZEL ANKARA ANADOLU LİSESİ (ANKARA - ÇANKAYA),3
133,ÖZEL ANKARA EĞİTİM KURUMLARI FEN LİSESİ (ANKARA - ÇANKAYA),3
134,ÖZEL BATIKENT UĞUR ANADOLU LİSESİ (ANKARA - YENİMAHALLE),3
135,ÖZEL BÜYÜK KOLEJ (ANKARA - ÇANKAYA),3
136,ÖZEL ESKİŞEHİR BAHÇEŞEHİR ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),3
137,ÖZEL SAINT JOSEPH FRANSIZ LİSESİ (İZMİR - KONAK),3
138,VEHBİ KOÇ VAKFI KOÇ ÖZEL LİSESİ (İSTANBUL - TUZLA),3
139,ÖZEL BİLFEN FEN LİSESİ (İZMİR - BORNOVA),3
140,ÖZEL SANKO KOLEJİ (GAZİANTEP - ŞEHİTKAMİL),3
141,15 TEMMUZ ŞEHİTLERİ FEN LİSESİ (ÇORUM - MERKEZ),3
142,BURSA ANADOLU LİSESİ (BURSA - OSMANGAZİ),3
143,KASTAMONU FEN LİSESİ (KASTAMONU - MERKEZ),3
144,ÖZEL KONYA NESİBE AYDIN FEN LİSESİ (KONYA - SELÇUKLU),3
145,ÖZKENT AKBİLEK FEN LİSESİ (ANKARA - ETİMESGUT),3
146,ÖZEL KOCAELİ NESİBE AYDIN FEN LİSESİ (KOCAELİ - İZMİT),3
147,ÖZEL TÜRK KOLEJİ ANADOLU LİSESİ (İZMİR - KONAK),3
148,HACI ÖMER TARMAN ANADOLU LİSESİ (ANKARA - ÇANKAYA),3
149,ÖZEL GÜLEÇ ABC FEN LİSESİ (KIRIKKALE - MERKEZ),3
150,ÖZEL MEZAİM KİRAZ FEN LİSESİ (ANKARA - POLATLI),3
151,ÖZEL MÜRÜVVET EVYAP FEN LİSESİ (İSTANBUL - SARIYER),3
152,TOFAŞ FEN LİSESİ (BURSA - NİLÜFER),3
153,CUMHURİYET FEN LİSESİ (ANKARA - ÇANKAYA),3
154,NİĞDE YUNUS EMRE ANADOLU LİSESİ (NİĞDE - MERKEZ),3
155,TOBB OSMANİYE FEN LİSESİ (OSMANİYE - MERKEZ),3
156,ÖZEL SINAV KOLEJİ ŞAHİN ANADOLU LİSESİ (KOCAELİ - KARTEPE),3
157,CAĞALOĞLU ANADOLU LİSESİ (İSTANBUL - FATİH),3
158,ÖZEL ADANA FİNAL FEN LİSESİ (ADANA - ÇUKUROVA),3
159,TED ZONGULDAK KOLEJİ VAKFI ÖZEL LİSESİ (ZONGULDAK - MERKEZ),3
160,ÖZEL TED ÇORUM ANADOLU LİSESİ (ÇORUM - MERKEZ),3
161,ERZİNCAN FEN LİSESİ (ERZİNCAN - MERKEZ),3
162,ESKİŞEHİR FATİH FEN LİSESİ (ESKİŞEHİR - ODUNPAZARI),3
163,MACİT ZEREN FEN LİSESİ (AMASYA - MERKEZ),3
164,ÖZEL ANKARA AÇI KOLEJİ FEN LİSESİ (ANKARA - YENİMAHALLE),3
165,İZMİR KIZ LİSESİ (İZMİR - KONAK),3
166,ARAŞTIRMA GELİŞTİRME EĞİTİM VE UYGULAMA MERKEZİ LİSESİ (İSTANBUL - ÜSKÜDAR),3
167,GALATASARAY ÜNİVERSİTESİ GALATASARAY LİSESİ (İSTANBUL - BEYOĞLU),3
168,NAZİLLİ FEN LİSESİ (AYDIN - NAZİLLİ),3
169,ÖZEL GÜZELBAHÇE BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (İZMİR - GÜZELBAHÇE),3
170,ÖZEL MURADİYE ERKEK FEN LİSESİ (ANKARA - ALTINDAĞ),3
171,NİĞDE FEN LİSESİ (NİĞDE - MERKEZ),3
