Rank,High School,Total Students
564,GÖNÜLLÜ HİZMET VAKFI MUSTAFA SAFFET FEN LİSESİ (İSTANBUL - PENDİK),1
565,İZZET BAYSAL ANADOLU LİSESİ (BOLU - MERKEZ),1
566,ÖZEL ABDULLAH YÜKSEL İVME ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
567,ÖZEL ATAEL FEN LİSESİ (ANKARA - YENİMAHALLE),1
568,ÖZEL BALIKESİR AÇI ANADOLU LİSESİ (BALIKESİR - ALTIEYLÜL),1
569,ÖZEL GEBZE BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ (KOCAELİ - GEBZE),1
570,ÖZEL IŞIN YAMAN ANADOLU LİSESİ (ANKARA - POLATLI),1
571,ÖZEL KARS BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (KARS - MERKEZ),1
572,ÖZEL OĞUZHAN ÖZKAYA ANADOLU LİSESİ (İZMİR - GÜZELBAHÇE),1
573,ÖZEL PROFESYONEL EĞİTİM ANADOLU LİSESİ (KONYA - SELÇUKLU),1
574,ÖZEL UZMANLAR ANADOLU LİSESİ (YALOVA - MERKEZ),1
575,ANITTEPE ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
576,ÖZEL KANGURU FEN LİSESİ (MALATYA - YEŞİLYURT),1
577,BARTIN LİSESİ (BARTIN - MERKEZ),1
578,ERDEM BAYAZIT ANADOLU LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),1
579,ERZURUM TÜRK TELEKOM NURETTİN TOPÇU SOSYAL BİLİMLER LİSESİ (ERZURUM - PALANDÖKEN),1
580,FATİH SULTAN MEHMET ANADOLU LİSESİ (BARTIN - MERKEZ),1
581,ÖZEL BAHÇEŞEHİR KOLEJİ KUZEY KAMPÜSÜ ANADOLU LİSESİ (İZMİR - MENEMEN),1
582,ÖZEL TÜRK YURDU KOLEJİ (ANKARA - KEÇİÖREN),1
583,SEZAİ KARAKOÇ ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),1
584,ŞEHİT ÖMER HALİSDEMİR ANADOLU İMAM HATİP LİSESİ (ANKARA - YENİMAHALLE),1
585,ULUBATLI HASAN ANADOLU LİSESİ (BURSA - YILDIRIM),1
586,ULUSLARARASI MURAT HÜDAVENDİGAR ANADOLU İMAM HATİP LİSESİ (BURSA - OSMANGAZİ),1
587,AHMET CEVDET PAŞA SOSYAL BİLİMLER LİSESİ (AKSARAY - MERKEZ),1
588,ILGIN TİCARET BORSASI FEN LİSESİ (KONYA - ILGIN),1
589,İSTANBUL ERKEK LİSESİ (İSTANBUL - FATİH),1
590,ÖZEL BİLNET FEN LİSESİ (BALIKESİR - ALTIEYLÜL),1
591,ÖZEL GAZİPAŞA FİNAL AKADEMİ ANADOLU LİSESİ (ANTALYA - GAZİPAŞA),1
592,ÖZEL SERDAR ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
593,YASEMİN ERMAN BALSU ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1
594,YOZGAT ŞEHİTLER FEN LİSESİ (YOZGAT - MERKEZ),1
595,ÇANKAYA ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
596,MEHMET ZAKİR EKNİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
597,MUĞLA GAZİ ANADOLU LİSESİ (MUĞLA - MENTEŞE),1
598,NERİMAN-EROL YILMAZ SOSYAL BİLİMLER LİSESİ (ANTALYA - KEPEZ),1
599,ÖZEL ANKA BİLİM ANADOLU LİSESİ (ANKARA - GÖLBAŞI),1
600,ÖZEL ANTALYA SINAV ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1
601,ÖZEL EKİN ANADOLU LİSESİ (İZMİR - MENEMEN),1
602,ÖZEL İZMİT UĞUR ANADOLU LİSESİ (KOCAELİ - İZMİT),1
603,ÖZEL KAHRAMANLAR ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
604,ÖZEL KARİYER KOLEJİ FEN LİSESİ (ANKARA - YENİMAHALLE),1
605,ÖZEL MÜRÜVVET EVYAP KOLEJİ (İSTANBUL - SARIYER),1
606,ÖZEL NARLIDERE UĞUR ANADOLU LİSESİ (İZMİR - NARLIDERE),1
607,ÖZEL NOVA FEN LİSESİ (BURSA - NİLÜFER),1
608,ÖZEL SERDİVAN ALTINKÜRE FEN LİSESİ (SAKARYA - SERDİVAN),1
609,ÖZEL TÜRMAK ANADOLU LİSESİ (KONYA - SELÇUKLU),1
610,ÖZEL ZEHRA ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
611,SELÇUKLU ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
612,BEŞİKDÜZÜ BORSA İSTANBUL FEN LİSESİ (TRABZON - BEŞİKDÜZÜ),1
613,KOZAN FEN LİSESİ (ADANA - KOZAN),1
614,NECMİ ASFUROĞLU ANADOLU LİSESİ (HATAY - DEFNE),1
615,ÖZEL LİSAN FEN EĞİTİM KURUMLARI KUZEY FEN LİSESİ (MERSİN - YENİŞEHİR),1
616,ŞEHİT NURULLAH SABIRER FEN LİSESİ (AKSARAY - ORTAKÖY),1
617,YALOVA-TERMAL FEN LİSESİ (YALOVA - MERKEZ),1
618,FMV ÖZEL ISPARTAKULE IŞIK LİSESİ (İSTANBUL - AVCILAR),1
619,ÖZEL AKŞEHİR FİNAL ANADOLU LİSESİ (KONYA - AKŞEHİR),1
620,ÖZEL BATIKENT ÇAKIRLAR SINAV ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
621,ÖZEL ELAZIĞ YÖNTEMİM FEN LİSESİ (ELAZIĞ - MERKEZ),1
622,ÖZEL ELİT EGE ANADOLU LİSESİ (MANİSA - YUNUSEMRE),1
623,ÖZEL ETİMESGUT FİNAL AKADEMİ ANADOLU LİSESİ (ANKARA - ETİMESGUT),1
624,ÖZEL İŞLEM ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
625,ÖZEL KARTAL BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (İSTANBUL - KARTAL),1
626,ÖZEL SEV LİSESİ (İSTANBUL - ÇEKMEKÖY),1
627,TED HATAY KOLEJİ ÖZEL ANADOLU LİSESİ (HATAY - DEFNE),1
628,ÖZEL BİLTEPE ANADOLU LİSESİ (OSMANİYE - KADİRLİ),1
629,ÖZEL ÇAĞLAYAN KIZ FEN LİSESİ (ANKARA - YENİMAHALLE),1
630,ÖZEL ERDEM FEN LİSESİ (GAZİANTEP - ŞAHİNBEY),1
631,ÖZEL KIRŞEHİR SİMYA FEN LİSESİ (KIRŞEHİR - MERKEZ),1
632,YILMAZ KAYALAR FEN LİSESİ (TOKAT - ERBAA),1
633,ÖZEL GAZİANTEP SEMPATİ FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1
634,ŞEHİT EYYÜP OĞUZ ANADOLU İMAM HATİP LİSESİ (ELAZIĞ - MERKEZ),1
635,ADİLE MERMERCİ ANADOLU LİSESİ (İSTANBUL - ZEYTİNBURNU),1
636,ÖZEL ANTALYA MUSTAFA KEMAL ANADOLU LİSESİ (ANTALYA - KONYAALTI),1
637,ÖZEL SAMSUN DOĞA ANADOLU LİSESİ (SAMSUN - ATAKUM),1
638,İSTEK ÖZEL BİLGE KAĞAN ANADOLU LİSESİ (İSTANBUL - BAKIRKÖY),1
639,İZMİR ÖZEL TEVFİK FİKRET LİSESİ (İZMİR - KONAK),1
640,NİYAZİ MISRİ SOSYAL BİLİMLER LİSESİ (MALATYA - BATTALGAZİ),1
641,ÖZEL ANTALYA RENK ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1
642,ÖZEL BAHÇEŞEHİR KÖRFEZ ANADOLU LİSESİ (BALIKESİR - BURHANİYE),1
643,ÖZEL BİLFEN İSKENDERUN ANADOLU LİSESİ (HATAY - ARSUZ),1
644,ÖZEL BİLGEKENT ANADOLU LİSESİ (OSMANİYE - KADİRLİ),1
645,ÖZEL ÇINAR ANADOLU LİSESİ (İSTANBUL - BAŞAKŞEHİR),1
646,ÖZEL DOĞRU NETİCE ANADOLU LİSESİ (İSTANBUL - ŞİŞLİ),1
647,ÖZEL EVRENSEL MATEMATİK KÖYÜ KOLEJİ ANADOLU LİSESİ (KOCAELİ - İZMİT),1
648,ÖZEL ÖZEN ANADOLU LİSESİ (MERSİN - YENİŞEHİR),1
649,ÖZEL PEREN ANADOLU LİSESİ (KONYA - MERAM),1
650,ÖZEL SÖKE KÜLTÜR ANADOLU LİSESİ (AYDIN - SÖKE),1
651,ÖZEL TOKAT SINAV ANADOLU LİSESİ (TOKAT - MERKEZ),1
652,TED ÖZEL ATAKENT ANADOLU LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),1
653,ÖZEL BAĞLICA FİNAL AKADEMİ ANADOLU LİSESİ (ANKARA - ETİMESGUT),1
654,ÖZEL ÇAĞRI FEN LİSESİ (ANKARA - KEÇİÖREN),1
655,ÖZEL KARŞIYAKA ÖRNEKKÖY UĞUR ANADOLU LİSESİ (İZMİR - KARŞIYAKA),1
656,ÖZEL KONYA ESENTEPE ANADOLU LİSESİ (KONYA - SELÇUKLU),1
657,ÖZEL KOŞUYOLU CADDEM ANADOLU LİSESİ (İSTANBUL - KADIKÖY),1
658,ÖZEL TÜMAY ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
659,ÖZEL YOZGAT AKADEMİ YENİ ÇİZGİ ANADOLU LİSESİ (YOZGAT - MERKEZ),1
660,ATATÜRK LİSESİ (ESKİŞEHİR - ODUNPAZARI),1
661,FMV. ÖZEL ERENKÖY IŞIK LİSESİ (İSTANBUL - KADIKÖY),1
662,GAZİ OSMAN PAŞA LİSESİ (TOKAT - MERKEZ),1
663,M.EMİN SARAÇ ANADOLU İMAM HATİP LİSESİ (TOKAT - MERKEZ),1
664,O.D.T.Ü. GELİŞTİRME VAKFI ÖZEL KAYSERİ ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),1
665,ÖZEL ALTIN ŞEHİR FEN LİSESİ (BURSA - NİLÜFER),1
666,ÖZEL ANTALYA BİL ANADOLU LİSESİ (ANTALYA - KONYAALTI),1
667,ÖZEL BORNOVA ANADOLU LİSESİ (İZMİR - BORNOVA),1
668,ÖZEL DİKMEN HAZIRLIK KOLEJİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
669,ÖZEL GÜNHAN KOLEJİ (İSTANBUL - MALTEPE),1
670,ÖZEL MERSİN EVRENSEL KÜLTÜR ANADOLU LİSESİ (MERSİN - YENİŞEHİR),1
671,ÖZEL OSMANİYE ENDER KOLEJİ (OSMANİYE - MERKEZ),1
672,ÖZEL SAKARYA YANKI KOLEJİ ANADOLU LİSESİ (SAKARYA - ADAPAZARI),1
673,ÖZEL UZMANLAR FEN LİSESİ (YALOVA - MERKEZ),1
674,SAMİ YANGIN ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),1
675,AYDIN FEN LİSESİ (AYDIN - EFELER),1
676,ÖZEL DENİZLİ BAHÇELİEVLER UĞUR FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),1
677,ÖZEL METOD ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
678,ÖZEL ZEHRA FEN LİSESİ (ANKARA - YENİMAHALLE),1
679,EMLAKBANK SÜLEYMAN DEMİREL ANADOLU LİSESİ (İZMİR - KARŞIYAKA),1
680,İSTEK ÖZEL SEMİHA ŞAKİR ANADOLU LİSESİ (İSTANBUL - KADIKÖY),1
681,İSTEK ÖZEL ULUĞBEY ANADOLU LİSESİ (İSTANBUL - KARTAL),1
682,ORDU SOSYAL BİLİMLER LİSESİ (ORDU - PERŞEMBE),1
683,ÖZEL ADEM SOYDEMİR ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
684,ÖZEL ÇANKIRI BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (ÇANKIRI - MERKEZ),1
685,ÖZEL FLORYA FİNAL ANADOLU LİSESİ (İSTANBUL - BAKIRKÖY),1
686,ÖZEL KASTAMONU TEMA KOLEJİ FEN LİSESİ (KASTAMONU - MERKEZ),1
687,ÖZEL KOCAELİ BİLNET ANADOLU LİSESİ (KOCAELİ - İZMİT),1
688,ÖZEL LÜLEBURGAZ BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (KIRKLARELİ - LÜLEBURGAZ),1
689,ÖZEL SALİHLİ BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (MANİSA - SALİHLİ),1
690,ÖZEL SAMSUN TAKEV ANADOLU LİSESİ (SAMSUN - ATAKUM),1
691,ÖZEL SIHHIYE KÜLTÜR TEMEL LİSESİ (ANKARA - ÇANKAYA),1
692,YURT DIŞI ORTAÖĞRETİM KURUMLARI,1
693,ÖZEL AYVALI SINAV ANADOLU LİSESİ (ANKARA - KEÇİÖREN),1
694,FAHREDDİN KERİM GÖKAY ANADOLU LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),1
695,AĞRI DAĞI ANADOLU LİSESİ (AĞRI - MERKEZ),1
696,HAVVA-SEDAT AVCIOĞLU FEN LİSESİ (ANTALYA - KUMLUCA),1
697,KAYSERİ KİLİM SOSYAL BİLİMLER LİSESİ (KAYSERİ - MELİKGAZİ),1
698,ÖZEL KARABÜK BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (KARABÜK - MERKEZ),1
699,YOZGAT LİSESİ (YOZGAT - MERKEZ),1
700,80 YIL CUMHURİYET ANADOLU LİSESİ (EDİRNE - MERKEZ),1
701,ANTALYA ERÜNAL SOSYAL BİLİMLER LİSESİ (ANTALYA - DÖŞEMEALTI),1
702,CAHİT ELGİNKAN ANADOLU LİSESİ (KOCAELİ - İZMİT),1
703,ÇEMBERLİTAŞ ANADOLU LİSESİ (İSTANBUL - FATİH),1
704,ERZURUM ANADOLU LİSESİ (ERZURUM - YAKUTİYE),1
705,İSTANBUL KADIKÖY LİSESİ (İSTANBUL - KADIKÖY),1
706,MEHMET UZAL SOSYAL BİLİMLER LİSESİ (BURDUR - MERKEZ),1
707,ÖZEL ADANA FİNAL ANADOLU LİSESİ (ADANA - ÇUKUROVA),1
708,ÖZEL BALIKESİR PUSULA ANADOLU LİSESİ (BALIKESİR - ALTIEYLÜL),1
709,ÖZEL BODRUM BİLNET ANADOLU LİSESİ (MUĞLA - BODRUM),1
710,ÖZEL BORNOVA UĞUR ANADOLU LİSESİ (İZMİR - BORNOVA),1
711,ÖZEL ÇAĞ ANADOLU LİSESİ (MERSİN - TARSUS),1
712,ÖZEL FİNAL ANADOLU LİSESİ (MUĞLA - FETHİYE),1
713,ÖZEL KADIKÖY NAZMİ ARIKAN FEN BİLİMLERİ ANADOLU LİSESİ (İSTANBUL - KADIKÖY),1
714,ÖZEL KADRO ANADOLU LİSESİ (İSTANBUL - BAKIRKÖY),1
715,ÖZEL KOCAELİ İSTEK ANADOLU LİSESİ (KOCAELİ - BAŞİSKELE),1
716,ÖZEL MATEMATİK FEN BİLİM ANADOLU LİSESİ (SAMSUN - İLKADIM),1
717,ÖZEL MEZAİM KİRAZ ANADOLU LİSESİ (ANKARA - POLATLI),1
718,ÖZEL SAINT JOSEPH FRANSIZ LİSESİ (İSTANBUL - KADIKÖY),1
719,ÖZEL TRABZON BİL ANADOLU LİSESİ (TRABZON - AKÇAABAT),1
720,ÖZEL YILDIZ FİNAL AKADEMİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
721,PROF. DR. NABİ AVCI FEN LİSESİ (İSTANBUL - ÜMRANİYE),1
722,ŞİŞLİ ANADOLU LİSESİ (İSTANBUL - ŞİŞLİ),1
723,TED MERSİN KOLEJİ ÖZEL LİSESİ (MERSİN - ERDEMLİ),1
724,ÖZEL AKHİSAR EKSEN OKULLARI FEN LİSESİ (MANİSA - AKHİSAR),1
725,ÖZEL BAHÇEŞEHİR DOĞA ANADOLU LİSESİ (İSTANBUL - BAŞAKŞEHİR),1
726,ÖZEL ERYAMAN MODERN ORTADOĞU ANADOLU LİSESİ (ANKARA - ETİMESGUT),1
727,AYDINLIKEVLER ANADOLU LİSESİ (ANKARA - KEÇİÖREN),1
728,ÖZEL ANTALYA MAYA FEN VE TEKNOLOJİ LİSESİ (ANTALYA - MURATPAŞA),1
729,ÖZEL DALAMAN BAHÇEŞEHİR FEN LİSESİ (MUĞLA - DALAMAN),1
730,ÖZEL UŞAK FİNAL AKADEMİ OKULLARI FEN LİSESİ (UŞAK - MERKEZ),1
731,EYÜP AYGAR FEN LİSESİ (MERSİN - YENİŞEHİR),1
732,ÖZEL BAHÇELİEVLER SINAV ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
733,ÖZEL BİLGİ FEN LİSESİ (TOKAT - MERKEZ),1
734,ÖZEL CANER NALDÖKEN ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
735,REFİK ARSLAN ÖZTÜRK FEN LİSESİ (BİLECİK - MERKEZ),1
736,AFŞİN ESHAB-I KEHF ANADOLU LİSESİ (KAHRAMANMARAŞ - AFŞİN),1
737,DR.BİNNAZ EGE-DR.RIDVAN EGE ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
738,ÖZEL KAPLAN ÜÇEVLER ANADOLU LİSESİ (BURSA - NİLÜFER),1
739,ÖZEL OĞUZHAN ÖZKAYA FEN LİSESİ (İZMİR - GÜZELBAHÇE),1
740,VEDAT TOPÇUOĞLU ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1
741,GELİBOLU FEN LİSESİ (ÇANAKKALE - GELİBOLU),1
742,ÖZEL ANTALYA KOLEJİ MURATPAŞA ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1
743,ÖZEL BAHARİYE ANADOLU LİSESİ (İSTANBUL - KADIKÖY),1
744,ÖZEL KONYA AÇI ANADOLU LİSESİ (KONYA - KARATAY),1
745,ABDÜLHAMİD HAN FEN LİSESİ (AKSARAY - MERKEZ),1
746,KARATAY FEN LİSESİ (KONYA - KARATAY),1
747,ÖZEL ÇANAKKALE KAMPÜS KOLEJİ ANADOLU LİSESİ (ÇANAKKALE - MERKEZ),1
748,ÖZEL FİNAL ÖZGÜN ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),1
749,ÖZEL MEHMET TUNÇ ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
750,PENDİK FATİH ANADOLU LİSESİ (İSTANBUL - PENDİK),1
751,SUNGURBEY ANADOLU LİSESİ (ADANA - ÇUKUROVA),1
752,ŞEHİT MUSTAFA ASLAN MESLEKİ VE TEKNİK ANADOLU LİSESİ (YOZGAT - MERKEZ),1
753,57. ALAY ANADOLU LİSESİ (TEKİRDAĞ - SÜLEYMANPAŞA),1
754,BUCA 85.YIL ANADOLU LİSESİ (İZMİR - BUCA),1
755,ESENYURT NAKİPOĞLU CUMHURİYET ANADOLU LİSESİ (İSTANBUL - ESENYURT),1
756,HAYRETTİN ATMACA ANADOLU LİSESİ (AĞRI - MERKEZ),1
757,HAYRİ MEHMET ÜRGÜPLÜ ANADOLU LİSESİ (NEVŞEHİR - ÜRGÜP),1
758,ÖZEL BÜYÜK UĞUR ANADOLU LİSESİ (AYDIN - EFELER),1
759,ÖZEL ÇAYYOLU FİNAL ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
760,ÖZEL ÇORUM BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (ÇORUM - MERKEZ),1
761,ÖZEL KAYSERİ DOĞA ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),1
762,ÖZEL MERSİN ÇÖZÜM AKADEMİ ANADOLU LİSESİ (MERSİN - YENİŞEHİR),1
763,ÖZEL SAMANYOLU CEMAL ŞAŞMAZ ANADOLU ÖĞRETMEN LİSESİ (ANKARA - KEÇİÖREN),1
764,ÖZEL YENİMAHALLE FİNAL ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
765,ŞEHİT DOĞUKAN TAZEGÜL ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
766,ÖZEL EMİNE ÖRNEK FEN LİSESİ (BURSA - MUDANYA),1
767,ÖZEL ATAFEN ANADOLU LİSESİ (KOCAELİ - İZMİT),1
768,ÖZEL BAHÇEŞEHİR ADANA ANADOLU LİSESİ (ADANA - SEYHAN),1
769,ÖZEL EREĞLİ SİMYA FEN LİSESİ (KONYA - EREĞLİ),1
770,ÖZEL ERYAMAN DÜŞÜN ANADOLU LİSESİ (ANKARA - ETİMESGUT),1
771,ÖZEL ERYAMAN ORTADOĞULULAR ANADOLU LİSESİ (ANKARA - ETİMESGUT),1
772,ÖZEL SAMSUN BOĞAZİÇİ ANADOLU LİSESİ (SAMSUN - ATAKUM),1
773,ANTALYA ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1
774,CEMİL MERİÇ FEN LİSESİ (ELAZIĞ - MERKEZ),1
775,MEV KOLEJİ ÖZEL BÜYÜKÇEKMECE FEN LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),1
776,ÖZEL BÜYÜKÇEKMECE AKADEMİ FEN LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),1
777,ÖZEL ORTACA ÇÖZÜM ANADOLU LİSESİ (MUĞLA - ORTACA),1
778,ÇANKIRI TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (ÇANKIRI - MERKEZ),1
779,NAZİLLİ MENDERES ANADOLU LİSESİ (AYDIN - NAZİLLİ),1
780,OSMAN ULUBAŞ KAYSERİ FEN LİSESİ (KAYSERİ - KOCASİNAN),1
781,BAHÇEŞEHİR ATATÜRK ANADOLU LİSESİ (İSTANBUL - BAŞAKŞEHİR),1
782,İSTEK ÖZEL ACIBADEM ANADOLU LİSESİ (İSTANBUL - KADIKÖY),1
783,İZMİR CENGİZ AYTMATOV SOSYAL BİLİMLER LİSESİ (İZMİR - URLA),1
784,ÖZEL AYDIN DEĞİŞİM ANADOLU LİSESİ (AYDIN - EFELER),1
785,ÖZEL BEYLİKDÜZÜ FİNAL ANADOLU LİSESİ (İSTANBUL - BEYLİKDÜZÜ),1
786,ÖZEL ÇANAKKALE BAHÇEŞEHİR KOLEJİ FEN LİSESİ (ÇANAKKALE - MERKEZ),1
787,ÖZEL FİNAL AKADEMİ ANADOLU LİSESİ (ISPARTA - MERKEZ),1
788,ÖZEL İSTEK GAZİANTEP ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1
789,ÖZEL KADIKÖY DİL KOLEJİ ANADOLU LİSESİ (İSTANBUL - KADIKÖY),1
790,ÖZEL KARŞIYAKA BİLİM DOĞA ANADOLU LİSESİ (İZMİR - KARŞIYAKA),1
791,ÖZEL MARMARA KOLEJİ (İSTANBUL - MALTEPE),1
792,ÖZEL MODERN ORTADOĞU ANADOLU LİSESİ (ANKARA - ETİMESGUT),1
793,ÖZEL MUĞLA TEKNOLOJİ VE KÜLTÜR FEN LİSESİ (MUĞLA - MENTEŞE),1
794,TEVFİK İLERİ ANADOLU LİSESİ (RİZE - MERKEZ),1
795,BÜYÜKŞEHİR HÜSEYİN YILDIZ ANADOLU LİSESİ (İSTANBUL - BEYLİKDÜZÜ),1
796,EDİRNE SÜLEYMAN DEMİREL FEN LİSESİ (EDİRNE - MERKEZ),1
797,ÖZEL BODRUM UĞUR ANADOLU LİSESİ (MUĞLA - BODRUM),1
798,ÖZEL TURUNCU FEN LİSESİ (İZMİR - TORBALI),1
799,ÖZEL GENÇ ADIM FEN LİSESİ (SAMSUN - ATAKUM),1
800,ÖZEL SELÇUKLU YÖNTEM FEN LİSESİ (KONYA - SELÇUKLU),1
801,ÖZEL TED DENİZLİ ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),1
802,AHMET ERDEM ANADOLU LİSESİ (BURSA - NİLÜFER),1
803,BAHÇELİEVLER ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
804,ELBİSTAN BORSA İSTANBUL FEN LİSESİ (KAHRAMANMARAŞ - ELBİSTAN),1
805,ÖZEL ÇORLU NAZMİ ARIKAN FEN BİLİMLERİ ANADOLU LİSESİ (TEKİRDAĞ - ÇORLU),1
806,DÖRTYOL FEN LİSESİ (HATAY - DÖRTYOL),1
807,HÜSEYİN GİRENES FEN LİSESİ (ANTALYA - ALANYA),1
808,MALTEPE FEN LİSESİ (İSTANBUL - MALTEPE),1
809,ÖZEL İSTEK ANTALYA LARA FEN LİSESİ (ANTALYA - MURATPAŞA),1
810,ŞEHİT İBRAHİM ARMUT FEN LİSESİ (MERSİN - ANAMUR),1
811,AGÜV TOBB ÖZEL TEKDEN ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),1
812,BAĞLICA ANADOLU LİSESİ (ANKARA - ETİMESGUT),1
813,MECİDİYEKÖY ANADOLU LİSESİ (İSTANBUL - ŞİŞLİ),1
814,ÖZEL ACIBADEM BİLİM DOĞA ANADOLU LİSESİ (İSTANBUL - ÜSKÜDAR),1
815,ÖZEL ANKARA EĞİTİM KURUMLARI ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
816,ÖZEL ANTALYA İMZA ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1
817,ÖZEL BİLGİ ANADOLU LİSESİ (TOKAT - MERKEZ),1
818,ÖZEL ÇUKURAMBAR SINAV ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
819,ÖZEL DARÜŞŞİFA EYMİR ANADOLU LİSESİ (ANKARA - GÖLBAŞI),1
820,ÖZEL DÜNYA KOLEJİ ANADOLU LİSESİ (İZMİR - ÖDEMİŞ),1
821,ÖZEL EVRENSEL KOLEJ (ANKARA - ÇANKAYA),1
822,ÖZEL GAZİANTEP NESİBE AYDIN ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1
823,ÖZEL GÜNEŞEVLER FİNAL AKADEMİ ANADOLU LİSESİ (ANKARA - ALTINDAĞ),1
824,ÖZEL GÜRÇAĞ FEN LİSESİ (ANKARA - ÇANKAYA),1
825,ÖZEL İSTANBUL MODERN İLİMLER ANADOLU LİSESİ (MUĞLA - MİLAS),1
826,ÖZEL KENT MEKTEBİ ANADOLU LİSESİ (İSTANBUL - BAŞAKŞEHİR),1
827,ÖZEL MATBİLİM KOLEJİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
828,ÖZEL MERSİN BİREY AKADEMİ ANADOLU LİSESİ (MERSİN - YENİŞEHİR),1
829,ÖZEL MERSİN İZ EĞİTİM KURUMLARI ANADOLU LİSESİ (MERSİN - YENİŞEHİR),1
830,ÖZEL OKUYAN DOĞRULAYAN TARTIŞAN UZMANLAR ANADOLU LİSESİ (ODTU) (ANKARA - ÇANKAYA),1
831,ÖZEL ORAN FİNAL ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
832,ÖZEL TANI ANADOLU LİSESİ (İZMİR - ÇİĞLİ),1
833,ÖZEL TEMA ANADOLU LİSESİ (ANKARA - ETİMESGUT),1
834,ÖZEL YÜKSELEN KOLEJİ ANADOLU LİSESİ (ANKARA - MAMAK),1
835,TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ ANADOLU LİSESİ (BURDUR - MERKEZ),1
836,FATMA-EMİN KUTVAR ANADOLU LİSESİ (BALIKESİR - KARESİ),1
837,ÖZEL YENİ SİS ANADOLU LİSESİ (ADANA - KOZAN),1
838,BORSA İSTANBUL ANADOLU LİSESİ (GAZİANTEP - ŞAHİNBEY),1
839,BURSA ERKEK LİSESİ (BURSA - OSMANGAZİ),1
840,KAHRAMANMARAŞ FEN LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),1
841,MEHMET AKİF İNAN HAFIZ ANADOLU İMAM HATİP LİSESİ (DÜZCE - MERKEZ),1
842,ÖZEL ALAPLI BAHÇEŞEHİR KOLEJİ FEN LİSESİ (ZONGULDAK - ALAPLI),1
