High School,Total,New Graduates,Previous Graduates,Success Rank
ÖZEL ÇAĞLAYAN ERKEK FEN LİSESİ (ANKARA - YENİMAHALLE),2,2,0,452
ÖZEL ÇUBUK HEDEFİM ANADOLU LİSESİ (ANKARA - ÇUBUK),1,1,0,452
ÖZEL DİLTAŞ ANADOLU LİSESİ (KONYA - MERAM),1,1,0,452
ÖZEL ERYAMAN SEVGİ FEN LİSESİ (ANKARA - ETİMESGUT),2,2,0,452
ÖZEL İNTEGRAL ANADOLU LİSESİ (MALATYA - YEŞİLYURT),1,1,0,452
ÖZEL KAYSERİ TEKDEN FEN LİSESİ (KAYSERİ - TALAS),2,2,0,452
ÖZEL MUSTAFA KEMAL FİNAL ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,1,0,452
ÖZEL NESİBE AYDIN FEN LİSESİ (ANKARA - GÖLBAŞI),1,1,0,452
ÖZEL NESİBE AYDIN YILDIZLAR FEN LİSESİ (ANKARA - ETİMESGUT),2,2,0,452
ÖZEL ORDU ÜNYE FİNAL AKADEMİ FEN LİSESİ (ORDU - ÜNYE),2,2,0,452
ADANA ANADOLU LİSESİ (ADANA - ÇUKUROVA),1,1,0,452
PROF.DR.İLHAN KILIÇÖZLÜ FEN LİSESİ (KIRŞEHİR - MERKEZ),1,1,0,452
SEYHAN BORSA İSTANBUL FEN LİSESİ (ADANA - SEYHAN),1,1,0,452
SİVAS FEN LİSESİ (SİVAS - MERKEZ),1,1,0,452
ŞEHİT OĞUZHAN YAŞAR ANADOLU LİSESİ (ANKARA - ETİMESGUT),1,1,0,452
TED KARADENİZ EREĞLİ KOLEJİ VAKFI ÖZEL LİSESİ (ZONGULDAK - EREĞLİ),1,1,0,452
VEHBİ DİNÇERLER FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,452
YAŞAR ACAR FEN LİSESİ (İSTANBUL - BEYLİKDÜZÜ),1,1,0,452
ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),4,4,0,452
ANKARA PURSAKLAR FEN LİSESİ (ANKARA - PURSAKLAR),1,1,0,452
ATATÜRK ANADOLU LİSESİ (ANKARA - YENİMAHALLE),2,2,0,452
ERZURUM İBRAHİM HAKKI FEN LİSESİ (ERZURUM - PALANDÖKEN),1,1,0,452
EYÜP AYGAR FEN LİSESİ (MERSİN - YENİŞEHİR),1,1,0,452
İSTANBUL ATATÜRK FEN LİSESİ (İSTANBUL - KADIKÖY),1,1,0,452
Toplam,8,8,0,532
FATMA MEHMET CADIL FEN LİSESİ (ANTALYA - KORKUTELİ),1,1,0,532
