High School,Total,New Graduates,Previous Graduates,Success Rank
ÖZEL EGE ATABEY ANADOLU LİSESİ (AYDIN - EFELER),1,1,0,24.589
ÖZEL GEBZE BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ (KOCAELİ - GEBZE),1,1,0,24.589
PENDİK FATİH ANADOLU LİSESİ (İSTANBUL - PENDİK),1,1,0,24.589
PERTEVNİYAL LİSESİ (İSTANBUL - FATİH),1,1,0,24.589
PROF. DR. NECMETTİN ERBAKAN FEN LİSESİ (İSTANBUL - BAĞCILAR),1,1,0,24.589
ATAKÖY CUMHURİYET ANADOLU LİSESİ (İSTANBUL - BAKIRKÖY),1,1,0,24.589
SALİHLİ SEKİNE EVREN ANADOLU LİSESİ (MANİSA - SALİHLİ),1,1,0,24.589
SAMİHA AYVERDİ ANADOLU LİSESİ (İSTANBUL - ZEYTİNBURNU),1,0,1,24.589
SEVAL-AHMET ÇETİN FEN LİSESİ (TEKİRDAĞ - ÇERKEZKÖY),3,3,0,24.589
SUAT TERİMER ANADOLU LİSESİ (İSTANBUL - BAYRAMPAŞA),4,2,2,24.589
SÜLEYMAN NAZİF ANADOLU LİSESİ (İSTANBUL - AVCILAR),1,0,1,24.589
ŞEHİT MÜNİR ALKAN FEN LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),2,1,1,24.589
ŞEHREMİNİ ANADOLU LİSESİ (İSTANBUL - FATİH),1,1,0,24.589
ŞÜKRÜ ŞANKAYA ANADOLU LİSESİ (BURSA - OSMANGAZİ),1,0,1,24.589
VAN TÜRK TELEKOM FEN LİSESİ (VAN - EDREMİT),1,1,0,24.589
YALOVA-TERMAL FEN LİSESİ (YALOVA - MERKEZ),1,0,1,24.589
AYDIN LİSESİ (AYDIN - EFELER),1,0,1,24.589
YUNUS EMRE ANADOLU LİSESİ (İZMİR - BORNOVA),1,0,1,24.589
YÜKSEL-İLHAN ALANYALI FEN LİSESİ (İSTANBUL - KARTAL),1,1,0,24.589
BÜYÜKÇEKMECE ATATÜRK ANADOLU LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),1,0,1,24.589
BÜYÜKŞEHİR HÜSEYİN YILDIZ ANADOLU LİSESİ (İSTANBUL - BEYLİKDÜZÜ),1,0,1,24.589
CUMHURİYET ANADOLU LİSESİ (İSTANBUL - SULTANGAZİ),1,0,1,24.589
ÇORLU BORSA İSTANBUL FEN LİSESİ (TEKİRDAĞ - ÇORLU),2,2,0,24.589
Toplam,72,48,24,24.752
BELEDİYE FEN LİSESİ (MUĞLA - FETHİYE),1,1,0,24.752
BOZÜYÜK FEN LİSESİ (BİLECİK - BOZÜYÜK),1,1,0,24.752
BURSA ANADOLU LİSESİ (BURSA - OSMANGAZİ),2,1,1,24.752
BURSA ERKEK LİSESİ (BURSA - OSMANGAZİ),1,0,1,24.752
BURSA İPEKÇİLİK ANADOLU İMAM HATİP LİSESİ (BURSA - YILDIRIM),1,1,0,24.752
ÇANAKKALE FEN LİSESİ (ÇANAKKALE - MERKEZ),1,1,0,24.752
ESKİŞEHİR ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),1,1,0,24.752
GÖLHİSAR FEN LİSESİ (BURDUR - GÖLHİSAR),1,0,1,24.752
GÖNÜLLÜ HİZMET VAKFI MUSTAFA SAFFET FEN LİSESİ (İSTANBUL - PENDİK),1,0,1,24.752
GÜLSER-MEHMET BOLLUK ANADOLU LİSESİ (BALIKESİR - ALTIEYLÜL),1,1,0,24.752
15 TEMMUZ ŞEHİTLER FEN LİSESİ (SAKARYA - SERDİVAN),1,1,0,24.752
GÜLVEREN ANADOLU LİSESİ (ANTALYA - KEPEZ),1,1,0,24.752
GÜZELYURT KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - ESENYURT),1,0,1,24.752
HAVVA-SEDAT AVCIOĞLU FEN LİSESİ (ANTALYA - KUMLUCA),1,1,0,24.752
ISPARTA SÜLEYMAN DEMİREL FEN LİSESİ (ISPARTA - MERKEZ),2,1,1,24.752
İLUH ANADOLU LİSESİ (BATMAN - MERKEZ),1,0,1,24.752
KADIKÖY ANADOLU İMAM HATİP LİSESİ (İSTANBUL - KADIKÖY),1,1,0,24.752
KAMİL MİRAS ANADOLU LİSESİ (AFYONKARAHİSAR - MERKEZ),1,1,0,24.752
KARŞIYAKA ANADOLU LİSESİ (BİNGÖL - MERKEZ),1,0,1,24.752
KEÇİÖREN VATANSEVER ŞEHİT TÜMGENERAL AYDOĞAN AYDIN FEN LİSESİ (ANKARA - KEÇİÖREN),2,2,0,24.752
KEŞAP FEN LİSESİ (GİRESUN - KEŞAP),1,0,1,24.752
AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),3,2,1,24.752
KILIÇOĞLU ANADOLU LİSESİ (ESKİŞEHİR - ODUNPAZARI),1,1,0,24.752
KÜTAHYA NAFİ GÜRAL FEN LİSESİ (KÜTAHYA - MERKEZ),1,1,0,24.752
LÜTFİ EGE ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),1,1,0,24.752
MANİSA TOBB BÜLENT KOŞMAZ FEN LİSESİ (MANİSA - YUNUSEMRE),1,1,0,24.752
MEHMET TEKİNALP ANADOLU LİSESİ (İSTANBUL - TUZLA),1,1,0,24.752
MENTEŞE ANADOLU LİSESİ (MUĞLA - MENTEŞE),1,1,0,24.752
NECİP FAZIL KISAKÜREK ANADOLU LİSESİ (KÜTAHYA - MERKEZ),1,1,0,24.752
NİLÜFER BORSA İSTANBUL FEN LİSESİ (BURSA - NİLÜFER),1,1,0,24.752
ÖDEMİŞ TİCARET ODASI ANADOLU LİSESİ (İZMİR - ÖDEMİŞ),1,0,1,24.752
ÖZEL ANKARA SANAYİ ODASI MESLEKİ VE TEKNİK ANADOLU LİSESİ (ANKARA - SİNCAN),1,1,0,24.752
AHMET HAMDİ GÖKBAYRAK FEN LİSESİ (BURSA - OSMANGAZİ),1,1,0,24.752
ÖZEL BALIKESİR PUSULA FEN LİSESİ (BALIKESİR - ALTIEYLÜL),1,0,1,24.752
ÖZEL BURSA ÇÖZÜM KOLEJİ FEN LİSESİ (BURSA - NİLÜFER),1,1,0,24.752
ÖZEL DENİZLİ BAHÇEŞEHİR ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),1,1,0,24.752
ÖZEL ENVAR FEN LİSESİ (ANTALYA - KEPEZ),1,1,0,24.752
ÖZEL GÜMÜŞHANE FİNAL AKADEMİ ANADOLU LİSESİ (GÜMÜŞHANE - MERKEZ),1,0,1,24.752
ÖZEL KONAKLAR CİHANGİR ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),1,1,0,24.752
ÖZEL RASİM ŞAHİNKAYA FEN LİSESİ (BURSA - NİLÜFER),1,0,1,24.752
ÖZEL SAMSUN SINAV KOLEJİ FEN VE TEKNOLOJİ LİSESİ (SAMSUN - ATAKUM),1,0,1,24.752
ÖZEL UZMANLAR FEN LİSESİ (YALOVA - MERKEZ),2,1,1,24.752
PENDİK FATİH ANADOLU LİSESİ (İSTANBUL - PENDİK),1,1,0,24.752
ALPARSLAN ANADOLU LİSESİ (İSTANBUL - PENDİK),1,0,1,24.752
RAHMİ KULA ANADOLU LİSESİ (BALIKESİR - KARESİ),1,1,0,24.752
REKABET KURUMU ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),1,1,0,24.752
SAKARYA CEVAT AYHAN FEN LİSESİ (SAKARYA - ADAPAZARI),1,1,0,24.752
SIRRI YIRCALI ANADOLU LİSESİ (BALIKESİR - KARESİ),1,1,0,24.752
SİMAV FEN LİSESİ (KÜTAHYA - SİMAV),2,1,1,24.752
SOMA BORSA İSTANBUL FEN LİSESİ (MANİSA - SOMA),1,1,0,24.752
SÜLEYMAN DEMİREL FEN LİSESİ (AFYONKARAHİSAR - MERKEZ),1,1,0,24.752
SÜMER FEN LİSESİ (KAYSERİ - KOCASİNAN),1,1,0,24.752
ŞEHİT MEHMET ŞENGÜL FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),1,0,1,24.752
ŞEHİT ÖMER HALİSDEMİR ANADOLU İMAM HATİP LİSESİ (ANKARA - YENİMAHALLE),1,1,0,24.752
ARTUKLU ANADOLU İMAM HATİP LİSESİ (MARDİN - ARTUKLU),1,0,1,24.752
TUŞBA TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (VAN - TUŞBA),1,1,0,24.752
ULUBATLI HASAN ANADOLU LİSESİ (BURSA - YILDIRIM),1,0,1,24.752
ULUSLARARASI CEVAT ÜLGER ANADOLU İMAM HATİP LİSESİ (ESKİŞEHİR - TEPEBAŞI),1,1,0,24.752
VALİDEBAĞ FEN LİSESİ (İSTANBUL - ÜSKÜDAR),1,1,0,24.752
YALOVA-TERMAL FEN LİSESİ (YALOVA - MERKEZ),1,1,0,24.752
ZEKİ KONUKOĞLU ANADOLU LİSESİ (BURSA - İNEGÖL),1,0,1,24.752
ATIŞALANI ANADOLU LİSESİ (İSTANBUL - ESENLER),1,0,1,24.752
AYDEM FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),2,1,1,24.752
AZİZ SANCAR ANADOLU LİSESİ (İSTANBUL - SULTANBEYLİ),1,1,0,24.752
Toplam,14,11,3,24.768
SIRRI YIRCALI ANADOLU LİSESİ (BALIKESİR - KARESİ),1,0,1,24.768
YAHYA KEMAL BEYATLI ANADOLU LİSESİ (İSTANBUL - BAKIRKÖY),1,1,0,24.768
YEŞİLKÖY ANADOLU LİSESİ (İSTANBUL - BAKIRKÖY),1,1,0,24.768
ZÜHTÜ KURTULMUŞ ANADOLU LİSESİ (İSTANBUL - ZEYTİNBURNU),1,0,1,24.768
ADNAN MENDERES ANADOLU LİSESİ (İSTANBUL - BAHÇELİEVLER),1,1,0,24.768
DOĞAN CÜCELOĞLU FEN LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),1,1,0,24.768
HÜSEYİN AVNİ SÖZEN ANADOLU LİSESİ (İSTANBUL - ÜSKÜDAR),3,3,0,24.768
İSTANBUL RECEP TAYYİP ERDOĞAN ANADOLU İMAM HATİP LİSESİ (İSTANBUL - FATİH),1,1,0,24.768
ÖZEL BEYLİKDÜZÜ AÇI ANADOLU LİSESİ (İSTANBUL - BEYLİKDÜZÜ),1,1,0,24.768
ÖZEL BEYLİKDÜZÜ OĞUZKAAN ANADOLU LİSESİ (İSTANBUL - BEYLİKDÜZÜ),1,0,1,24.768
ÖZEL ESENKENT OKYANUS FEN LİSESİ (İSTANBUL - ESENYURT),1,1,0,24.768
ÖZEL KONYA SİSTEM FEN LİSESİ (KONYA - SELÇUKLU),1,1,0,24.768
Toplam,15,10,5,24.963
NEVŞEHİR FEVZİ DİRİKOÇ FEN LİSESİ (NEVŞEHİR - MERKEZ),1,1,0,24.963
ÖZEL GÜNDOĞDU FEN LİSESİ (ADANA - ÇUKUROVA),1,1,0,24.963
ÖZEL SAMSUN BAHÇEŞEHİR KOLEJİ ATAKUM FEN VE TEKNOLOJİ LİSESİ (SAMSUN - ATAKUM),1,1,0,24.963
TED ÖZEL ATAKENT ANADOLU LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),1,1,0,24.963
TÜPRAŞ 50. YİL ANADOLU LİSESİ (KOCAELİ - KÖRFEZ),1,1,0,24.963
VALİDEBAĞ FEN LİSESİ (İSTANBUL - ÜSKÜDAR),1,0,1,24.963
ZÜHTÜ KURTULMUŞ ANADOLU LİSESİ (İSTANBUL - ZEYTİNBURNU),1,1,0,24.963
AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),1,0,1,24.963
ADAPAZARI ÖZEL ŞAHİN ANADOLU LİSESİ (SAKARYA - ADAPAZARI),1,1,0,24.963
BORNOVA ANADOLU LİSESİ (İZMİR - BORNOVA),1,1,0,24.963
EBRU NAYİM FEN LİSESİ (TEKİRDAĞ - SÜLEYMANPAŞA),1,0,1,24.963
GÜNEYSU ŞEHİT KEMAL MUTLU FEN LİSESİ (RİZE - GÜNEYSU),1,0,1,24.963
MALATYA ANADOLU İMAM HATİP LİSESİ (MALATYA - BATTALGAZİ),1,0,1,24.963
MANİSA TOBB BÜLENT KOŞMAZ FEN LİSESİ (MANİSA - YUNUSEMRE),1,1,0,24.963
MEVLANA ANADOLU LİSESİ (İSTANBUL - GAZİOSMANPAŞA),1,1,0,24.963
Toplam,90,50,40,25.044
BATTALGAZİ ANADOLU LİSESİ (MALATYA - BATTALGAZİ),2,0,2,25.044
BEYDAĞI ANADOLU LİSESİ (MALATYA - YEŞİLYURT),2,1,1,25.044
BORNOVA ANADOLU LİSESİ (İZMİR - BORNOVA),1,1,0,25.044
BORSA İSTANBUL FEN LİSESİ (DİYARBAKIR - BAĞLAR),1,1,0,25.044
CEMİL MERİÇ FEN LİSESİ (ELAZIĞ - MERKEZ),1,0,1,25.044
ÇORLU BORSA İSTANBUL FEN LİSESİ (TEKİRDAĞ - ÇORLU),1,1,0,25.044
ÇUKUROVA ELEKTRİK ANADOLU LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),1,1,0,25.044
DEVELİ BORSA İSTANBUL FEN LİSESİ (KAYSERİ - DEVELİ),1,1,0,25.044
ECZACI BAHATTİN-SEVİNÇ ERDİNÇ FEN LİSESİ (ADANA - CEYHAN),1,1,0,25.044
FAHREDDİN KERİM GÖKAY ANADOLU LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),1,0,1,25.044
AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),4,1,3,25.044
FATİH ANADOLU LİSESİ (ADANA - KOZAN),1,1,0,25.044
GAZİ ANADOLU LİSESİ (ADANA - SEYHAN),1,0,1,25.044
GÜNGÖREN İSTANBUL TİCARET ODASI KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - GÜNGÖREN),1,1,0,25.044
İSMET AYŞE BEHZATOĞLU ANADOLU LİSESİ (HATAY - REYHANLI),1,0,1,25.044
KAHRAMANMARAŞ TOBB FEN LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),2,1,1,25.044
KARŞIYAKA ANADOLU LİSESİ (BİNGÖL - MERKEZ),1,1,0,25.044
KAYSERİ LİSESİ (KAYSERİ - MELİKGAZİ),1,0,1,25.044
KEREM AYDINLAR FEN LİSESİ (MALATYA - ARAPGİR),1,0,1,25.044
KOCAELİ YÜKSEK ÖĞRENİM VAKFI ÖZEL ANADOLU LİSESİ (KOCAELİ - İZMİT),1,0,1,25.044
KÖYCEĞİZ FEN LİSESİ (MUĞLA - KÖYCEĞİZ),1,1,0,25.044
ADANA FEN LİSESİ (ADANA - SEYHAN),1,1,0,25.044
MAHMUT ÇALIK ANADOLU LİSESİ (MALATYA - YEŞİLYURT),1,0,1,25.044
MALATYA ANADOLU LİSESİ (MALATYA - BATTALGAZİ),2,1,1,25.044
MALATYA ERMAN ILICAK FEN LİSESİ (MALATYA - YEŞİLYURT),5,4,1,25.044
MALATYA FETHİ GEMUHLUOĞLU FEN LİSESİ (MALATYA - YEŞİLYURT),2,1,1,25.044
MARDİN FEN LİSESİ (MARDİN - ARTUKLU),1,1,0,25.044
MEHMET KOLOĞLU ANADOLU LİSESİ (ELAZIĞ - MERKEZ),1,0,1,25.044
MEVLANA ANADOLU LİSESİ (İSTANBUL - GAZİOSMANPAŞA),1,0,1,25.044
NİLÜFER BORSA İSTANBUL FEN LİSESİ (BURSA - NİLÜFER),1,0,1,25.044
NURULLAH EREN ANADOLU LİSESİ (BİTLİS - MERKEZ),1,0,1,25.044
ÖZEL BAŞAKŞEHİR FİNAL FEN LİSESİ (İSTANBUL - BAŞAKŞEHİR),1,1,0,25.044
AĞRI HÜSEYİN CELAL YARDIMCI FEN LİSESİ (AĞRI - MERKEZ),1,1,0,25.044
ÖZEL DARUŞŞAFAKA LİSESİ (İSTANBUL - SARIYER),1,0,1,25.044
ÖZEL DEVA FEN VE TEKNOLOJİ LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,0,1,25.044
ÖZEL GAZİ KOLEJİ ANADOLU LİSESİ (GAZİANTEP - ŞAHİNBEY),1,1,0,25.044
ÖZEL ISPARTA FİNAL AKADEMİ FEN LİSESİ (ISPARTA - MERKEZ),1,0,1,25.044
ÖZEL İNTEGRAL FEN LİSESİ (MALATYA - YEŞİLYURT),2,1,1,25.044
ÖZEL KAHRAMANMARAŞ MODERN BİLİMLER AKADEMİSİ (MBA) FEN LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),1,0,1,25.044
ÖZEL KANGURU FEN LİSESİ (MALATYA - YEŞİLYURT),6,5,1,25.044
ÖZEL MALATYA NESİBE AYDIN YILDIZLAR ANADOLU LİSESİ (MALATYA - YEŞİLYURT),1,1,0,25.044
ÖZEL ÖZLÜCE TAN FEN LİSESİ (BURSA - NİLÜFER),1,0,1,25.044
ÖZEL SİMYA FEN LİSESİ (HATAY - BELEN),1,1,0,25.044
AKÇADAĞ FATİH FEN LİSESİ (MALATYA - AKÇADAĞ),1,1,0,25.044
ÖZEL SULAR FEN LİSESİ (ADANA - SEYHAN),1,0,1,25.044
ÖZEL TATVAN FİNAL ANADOLU LİSESİ (BİTLİS - TATVAN),1,1,0,25.044
ÖZEL TEKDEN FEN LİSESİ (KAYSERİ - MELİKGAZİ),1,0,1,25.044
PROF. DR. NECMETTİN ERBAKAN FEN LİSESİ (İSTANBUL - BAĞCILAR),1,1,0,25.044
REKABET KURUMU ANADOLU LİSESİ (DİYARBAKIR - YENİŞEHİR),1,0,1,25.044
SELAHADDİN EYYUBİ ANADOLU İMAM HATİP LİSESİ (MALATYA - YEŞİLYURT),2,2,0,25.044
SELÇUKLU FEN LİSESİ (KONYA - SELÇUKLU),1,1,0,25.044
SİİRT TÜRK TELEKOM FEN LİSESİ (SİİRT - MERKEZ),2,1,1,25.044
SİVAS FEN LİSESİ (SİVAS - MERKEZ),1,1,0,25.044
SİVAS LİSESİ (SİVAS - MERKEZ),1,0,1,25.044
ANKARA ERMAN ILICAK FEN LİSESİ (ANKARA - SİNCAN),1,0,1,25.044
SUNGURBEY ANADOLU LİSESİ (ADANA - ÇUKUROVA),1,1,0,25.044
ŞEHİT MUSTAFA SERİN FEN LİSESİ (BALIKESİR - EDREMİT),1,1,0,25.044
TED KAYSERİ KOLEJİ VAKFI ÖZEL LİSESİ (KAYSERİ - KOCASİNAN),2,1,1,25.044
TOBB FEN LİSESİ (GAZİANTEP - ŞAHİNBEY),1,0,1,25.044
TUNCELİ TÜRK TELEKOM FEN LİSESİ (TUNCELİ - MERKEZ),2,1,1,25.044
VALİ AYDIN ARSLAN FEN LİSESİ (DİYARBAKIR - SUR),1,0,1,25.044
VAN TÜRK TELEKOM FEN LİSESİ (VAN - EDREMİT),1,1,0,25.044
YUSUF KENAN ANADOLU LİSESİ (MALATYA - YEŞİLYURT),1,0,1,25.044
YÜKSEL-İLHAN ALANYALI FEN LİSESİ (İSTANBUL - KARTAL),2,2,0,25.044
ANKARA PURSAKLAR FEN LİSESİ (ANKARA - PURSAKLAR),1,1,0,25.044
ANTALYA ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1,1,0,25.044
AYTEN KEMAL AKINAL ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,25.044
Toplam,10,10,0,25.282
BAHÇELİEVLER ANADOLU LİSESİ (İSTANBUL - BAHÇELİEVLER),2,2,0,25.282
CAĞALOĞLU ANADOLU LİSESİ (İSTANBUL - FATİH),5,5,0,25.282
KABATAŞ ERKEK LİSESİ (İSTANBUL - BEŞİKTAŞ),2,2,0,25.282
KARTAL ANADOLU LİSESİ (İSTANBUL - KARTAL),1,1,0,25.282
Toplam,82,57,25,25.361
CEYLANPINAR FEN LİSESİ (ŞANLIURFA - CEYLANPINAR),1,1,0,25.361
ERDEMLİ BORSA İSTANBUL FEN LİSESİ (MERSİN - ERDEMLİ),1,1,0,25.361
GÖNEN FEN LİSESİ (ISPARTA - GÖNEN),1,1,0,25.361
GÜLTEN-ALİ ZİYAN ANADOLU LİSESİ (OSMANİYE - KADİRLİ),1,1,0,25.361
HAYME ANA KIZ ANADOLU İMAM HATİP LİSESİ (ANTALYA - KONYAALTI),1,0,1,25.361
ILGIN TİCARET BORSASI FEN LİSESİ (KONYA - ILGIN),2,2,0,25.361
İRFAN ATASEVEN ANADOLU LİSESİ (KARAMAN - MERKEZ),1,1,0,25.361
KADRİYE ÇALIK ANADOLU LİSESİ (KAHRAMANMARAŞ - DULKADİROĞLU),1,1,0,25.361
KAHRAMANMARAŞ FEN LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),1,1,0,25.361
KAMİL MİRAS ANADOLU LİSESİ (AFYONKARAHİSAR - MERKEZ),2,2,0,25.361
ABDULKERİM BENGİ ANADOLU LİSESİ (MERSİN - TARSUS),1,0,1,25.361
KARATAY FEN LİSESİ (KONYA - KARATAY),2,2,0,25.361
KARATAY TOKİ ANADOLU LİSESİ (KONYA - KARATAY),1,1,0,25.361
KARŞIYAKA ATAKENT ANADOLU LİSESİ (İZMİR - KARŞIYAKA),1,0,1,25.361
KONYA- MERAM FEN LİSESİ (KONYA - MERAM),2,1,1,25.361
KÜTAHYA LİSESİ (KÜTAHYA - MERKEZ),1,1,0,25.361
MACİDE-RAMİZ TAŞKINLAR FEN LİSESİ (MANİSA - AKHİSAR),1,0,1,25.361
MACİT ZEREN FEN LİSESİ (AMASYA - MERKEZ),1,1,0,25.361
MAHMUT SAMİ RAMAZANOĞLU ANADOLU İMAM HATİP LİSESİ (KONYA - SELÇUKLU),3,3,0,25.361
MANAVGAT ANADOLU LİSESİ (ANTALYA - MANAVGAT),1,1,0,25.361
MEHMET-HANİFE YAPICI ANADOLU LİSESİ (KONYA - KARATAY),1,0,1,25.361
AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),2,1,1,25.361
MERAM ANADOLU LİSESİ (KONYA - MERAM),6,5,1,25.361
MERAM MEHMET-MÜNEVVER KURBAN ANADOLU LİSESİ (KONYA - MERAM),1,0,1,25.361
MUT OSMAN NURİ YALMAN ANADOLU LİSESİ (MERSİN - MUT),1,0,1,25.361
NAZİLLİ FEN LİSESİ (AYDIN - NAZİLLİ),1,1,0,25.361
OSMAN NURİ HEKİMOĞLU ANADOLU LİSESİ (KONYA - SELÇUKLU),2,1,1,25.361
ÖZEL ALTINELLER FEN LİSESİ (ADANA - ÇUKUROVA),1,0,1,25.361
ÖZEL BABAOĞLU FEN LİSESİ (KARAMAN - MERKEZ),1,1,0,25.361
ÖZEL ÇUBUK HEDEFİM ANADOLU LİSESİ (ANKARA - ÇUBUK),1,1,0,25.361
ÖZEL DİLTAŞ ANADOLU LİSESİ (KONYA - MERAM),1,1,0,25.361
ÖZEL ENDERUN FEN LİSESİ (KONYA - KARATAY),1,1,0,25.361
ADANA ANADOLU LİSESİ (ADANA - ÇUKUROVA),1,0,1,25.361
ÖZEL ENKA MESLEKİ VE TEKNİK ANADOLU LİSESİ (KOCAELİ - DİLOVASI),1,1,0,25.361
ÖZEL ERDEMLİ GENİŞ AÇI KOLEJİ ANADOLU LİSESİ (MERSİN - ERDEMLİ),1,1,0,25.361
ÖZEL EREĞLİ SİMYA FEN LİSESİ (KONYA - EREĞLİ),1,1,0,25.361
ÖZEL FORM KAMPÜS FEN LİSESİ (KONYA - SELÇUKLU),2,1,1,25.361
ÖZEL KOLEJ KARATARAKLI FEN LİSESİ (İZMİR - KONAK),1,1,0,25.361
ÖZEL KONYA ESENTEPE FEN LİSESİ (KONYA - SELÇUKLU),1,1,0,25.361
ÖZEL KONYA SİSTEM ANADOLU LİSESİ (KONYA - SELÇUKLU),1,1,0,25.361
ÖZEL KONYA ŞEHİR FEN LİSESİ (KONYA - SELÇUKLU),1,1,0,25.361
ÖZEL PROFESYONEL EĞİTİM AKADEMİSİ (PEMA) FEN LİSESİ (KONYA - SELÇUKLU),1,0,1,25.361
ÖZEL SELÇUKLU YÖNTEM FEN LİSESİ (KONYA - SELÇUKLU),1,0,1,25.361
ADEM-TOLUNAY ANADOLU LİSESİ (ANTALYA - MURATPAŞA),2,1,1,25.361
ÖZEL TEMEL DEĞERLER FEN LİSESİ (KONYA - SELÇUKLU),1,0,1,25.361
PAZARCIK FEN LİSESİ (KAHRAMANMARAŞ - PAZARCIK),1,1,0,25.361
PROF.DR.ÖMER DİNÇER KIZ ANADOLU İMAM HATİP LİSESİ (KONYA - KARATAY),2,2,0,25.361
SELÇUKLU FEN LİSESİ (KONYA - SELÇUKLU),4,3,1,25.361
SEYHAN ROTARY ANADOLU LİSESİ (ADANA - YÜREĞİR),1,0,1,25.361
SÜLEYMAN DEMİREL FEN LİSESİ (AFYONKARAHİSAR - MERKEZ),1,1,0,25.361
ŞEHİT AHMET ÖZSOY KIZ ANADOLU İMAM HATİP LİSESİ (ANKARA - KEÇİÖREN),1,0,1,25.361
TAVŞANLI 15 TEMMUZ ŞEHİTLER FEN LİSESİ (KÜTAHYA - TAVŞANLI),1,1,0,25.361
TENZİLE ERDOĞAN ANADOLU LİSESİ (ISPARTA - MERKEZ),1,1,0,25.361
TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (KARAMAN - MERKEZ),2,1,1,25.361
ALİ UZUNOĞLU ANADOLU İMAM HATİP LİSESİ (MANİSA - SOMA),1,1,0,25.361
ULUBATLI HASAN ANADOLU LİSESİ (BURSA - YILDIRIM),1,0,1,25.361
VİRANŞEHİR FEN LİSESİ (ŞANLIURFA - VİRANŞEHİR),1,0,1,25.361
YASEMİN ERMAN BALSU ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,25.361
YILDIZ KIZ ANADOLU İMAM HATİP LİSESİ (KONYA - MERAM),1,1,0,25.361
ANTALYA TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (ANTALYA - KEPEZ),1,0,1,25.361
AYDEM FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),1,1,0,25.361
BORNOVA ANADOLU LİSESİ (İZMİR - BORNOVA),1,1,0,25.361
Toplam,118,81,37,25.654
ANTALYA TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (ANTALYA - KEPEZ),1,1,0,25.654
ARDAHAN FEN LİSESİ (ARDAHAN - MERKEZ),1,1,0,25.654
BATMAN FEN LİSESİ (BATMAN - MERKEZ),1,1,0,25.654
BELEDİYE FEN LİSESİ (MUĞLA - FETHİYE),1,1,0,25.654
CUMHURİYET FEN LİSESİ (ANKARA - ÇANKAYA),2,2,0,25.654
ÇORUM BAŞÖĞRETMEN ANADOLU LİSESİ (ÇORUM - MERKEZ),1,0,1,25.654
DEDE KORKUT ANADOLU LİSESİ (İSTANBUL - BAHÇELİEVLER),1,1,0,25.654
ECZACI BAHATTİN-SEVİNÇ ERDİNÇ FEN LİSESİ (ADANA - CEYHAN),1,1,0,25.654
EDİRNE SÜLEYMAN DEMİREL FEN LİSESİ (EDİRNE - MERKEZ),1,1,0,25.654
EMEL-MUSTAFA UŞAKLI ANADOLU LİSESİ (AYDIN - EFELER),1,1,0,25.654
15 TEMMUZ MİLLİ İRADE ANADOLU İMAM HATİP LİSESİ (BİNGÖL - MERKEZ),1,0,1,25.654
ERMENEK UYSAL-HASAN KALAN FEN LİSESİ (KARAMAN - ERMENEK),1,1,0,25.654
ERTUĞRUL GAZİ ANADOLU İMAM HATİP LİSESİ (UŞAK - MERKEZ),1,1,0,25.654
ESKİŞEHİR ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),1,0,1,25.654
EYÜP AYGAR FEN LİSESİ (MERSİN - YENİŞEHİR),1,1,0,25.654
