High School,Total_Instances,Success_Ranks
AKSU FEN LİSESİ (ANTALYA - AKSU),37,"[1.935, 3.771, 5.199, 9.627, 9.937, 10.321, 10.795, 13.176, 14.398, 14.61, 14.988, 15.007, 17.273, 17.824, 18.333, 19.963, 20.156, 21.103, 22.085, 22.161, 22.233, 23.323, 23.389, 24.094, 24.13, 25.654, 27.586, 28.342, 28.704, 29.333, 30.469, 31.102, 31.544, 34.2, 35.795, 37.002, 37.839]"
ÇUKUROVA ELEKTRİK ANADOLU LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),36,"[3.577, 4.686, 5.199, 7.31, 7.43, 8.262, 8.58, 9.627, 10.165, 10.612, 14.136, 14.398, 14.61, 14.988, 15.007, 16.846, 17.273, 18.907, 21.168, 22.085, 22.314, 25.044, 26.429, 26.474, 27.311, 27.516, 28.236, 28.704, 31.66, 33.097, 34.2, 34.281, 34.285, 36.077, 36.788, 39.392]"
AĞRI HÜSEYİN CELAL YARDIMCI FEN LİSESİ (AĞRI - MERKEZ),36,"[1.311, 3.294, 3.577, 5.145, 5.29, 6.639, 7.32, 8.58, 9.627, 10.165, 11.277, 13.176, 14.136, 14.988, 15.038, 17.273, 17.828, 18.719, 19.077, 19.442, 21.427, 22.085, 23.448, 23.583, 25.044, 27.352, 28.414, 29.049, 29.182, 29.19, 30.722, 33.097, 33.854, 34.778, 39.123, 39.508]"
HASAN SABRİ ÇAVUŞOĞLU FEN LİSESİ (BARTIN - MERKEZ),36,"[945.0, 1.288, 1.858, 2.053, 2.792, 3.577, 3.659, 4.377, 5.199, 5.29, 5.946, 7.721, 8.201, 9.716, 10.901, 13.176, 15.038, 17.132, 17.273, 17.828, 18.464, 18.6, 20.037, 20.156, 21.103, 22.314, 23.451, 23.517, 28.342, 30.424, 30.913, 31.45, 35.36, 35.652, 36.937, 39.047]"
LÜLEBURGAZ RAMAZAN YAMAN FEN LİSESİ (KIRKLARELİ - LÜLEBURGAZ),36,"[2.388, 3.294, 4.91, 5.145, 5.29, 5.947, 6.399, 7.32, 7.43, 7.721, 8.262, 9.295, 9.589, 10.165, 12.558, 13.125, 13.177, 15.007, 15.038, 17.383, 18.6, 23.389, 24.094, 24.589, 25.811, 27.165, 27.427, 27.815, 27.829, 29.049, 31.102, 32.995, 34.285, 35.831, 38.057, 38.243]"
ŞEHİT MEHMET ŞENGÜL FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),36,"[363.0, 1.242, 2.792, 2.826, 6.31, 6.639, 7.43, 7.571, 8.201, 9.627, 12.286, 12.342, 13.25, 14.398, 14.988, 15.038, 16.761, 17.273, 17.383, 18.6, 23.389, 24.752, 25.654, 27.165, 27.413, 27.595, 28.191, 28.664, 29.19, 29.261, 30.608, 31.45, 31.544, 34.116, 35.496, 35.968]"
SUAT TERİMER ANADOLU LİSESİ (İSTANBUL - BAYRAMPAŞA),36,"[3.658, 5.145, 5.725, 6.639, 7.43, 9.589, 9.627, 11.277, 12.236, 13.176, 13.547, 16.089, 16.371, 17.132, 18.6, 19.705, 20.037, 21.156, 21.534, 22.037, 23.272, 23.783, 23.884, 24.589, 26.18, 26.383, 26.897, 27.165, 27.427, 27.956, 29.049, 33.408, 33.854, 36.002, 36.316, 39.28]"
NAZİLLİ FEN LİSESİ (AYDIN - NAZİLLİ),36,"[452.0, 1.008, 1.234, 1.288, 2.053, 2.826, 2.963, 3.659, 4.122, 5.145, 5.29, 5.725, 7.32, 10.795, 12.683, 13.324, 14.988, 17.273, 17.828, 18.333, 20.419, 22.314, 23.323, 23.457, 25.361, 25.78, 26.044, 26.897, 27.034, 27.427, 28.704, 29.182, 30.913, 31.45, 32.946, 35.574]"
MALATYA ANADOLU LİSESİ (MALATYA - BATTALGAZİ),36,"[1.935, 3.577, 5.725, 7.32, 9.61, 9.627, 11.277, 11.535, 13.713, 15.007, 21.168, 22.192, 22.581, 23.284, 25.044, 25.678, 25.722, 26.382, 26.897, 27.586, 28.191, 28.236, 28.342, 28.704, 29.049, 30.424, 30.795, 31.102, 31.66, 33.097, 33.854, 34.531, 34.627, 35.652, 36.002, 36.937]"
ŞEHİT İLHAN VARANK FEN LİSESİ (İSTANBUL - MALTEPE),36,"[3.294, 4.344, 5.145, 5.361, 6.639, 8.071, 8.262, 10.901, 11.277, 11.7, 12.236, 12.286, 13.255, 13.547, 13.564, 13.973, 15.038, 15.66, 16.409, 17.132, 17.31, 18.6, 18.907, 20.419, 22.037, 23.583, 26.106, 27.165, 27.815, 27.956, 28.342, 29.261, 31.102, 31.493, 33.408, 33.854]"
SOMA BORSA İSTANBUL FEN LİSESİ (MANİSA - SOMA),35,"[1.935, 2.887, 3.577, 6.639, 7.32, 9.627, 10.165, 12.342, 12.683, 13.176, 14.988, 17.273, 17.828, 17.942, 18.333, 18.662, 19.963, 20.419, 22.161, 22.181, 22.581, 23.389, 23.818, 24.094, 24.752, 26.897, 28.236, 29.333, 29.883, 30.722, 31.183, 32.565, 34.163, 34.2, 37.002]"
ÖZEL ÇAĞDAŞ ÖNCÜ FEN LİSESİ (BURSA - NİLÜFER),35,"[286.0, 452.0, 945.0, 1.008, 1.242, 1.288, 1.311, 3.063, 3.577, 3.659, 4.91, 5.145, 6.639, 7.296, 7.43, 7.572, 9.61, 10.165, 12.236, 13.324, 13.45, 15.094, 16.552, 17.383, 17.949, 23.389, 23.884, 27.55, 27.815, 29.049, 29.446, 30.09, 30.722, 34.531, 38.082]"
BATMAN ANADOLU LİSESİ (BATMAN - MERKEZ),35,"[6.639, 9.627, 9.716, 10.901, 11.535, 12.463, 12.531, 12.683, 13.25, 15.819, 16.846, 17.273, 18.333, 18.662, 19.077, 20.156, 20.962, 22.085, 23.284, 23.448, 26.382, 26.429, 27.177, 27.352, 27.909, 28.414, 29.19, 29.333, 30.722, 31.183, 32.565, 34.627, 36.794, 39.123, 39.508]"
NİZİP FEN LİSESİ (GAZİANTEP - NİZİP),35,"[1.242, 1.935, 2.792, 3.689, 5.145, 7.571, 10.612, 13.564, 16.846, 17.383, 17.828, 18.333, 18.662, 18.767, 19.077, 21.168, 22.037, 22.085, 22.314, 22.575, 23.272, 23.284, 23.323, 25.654, 25.811, 26.382, 26.429, 26.474, 27.311, 28.414, 34.888, 35.079, 36.077, 36.271, 39.558]"
CEMİL MERİÇ FEN LİSESİ (ELAZIĞ - MERKEZ),35,"[945.0, 1.008, 2.792, 3.294, 5.145, 5.199, 5.29, 5.947, 6.128, 6.639, 7.32, 7.571, 8.58, 9.627, 11.277, 12.683, 14.136, 14.61, 15.007, 16.089, 17.273, 17.31, 21.168, 23.284, 23.451, 25.044, 26.044, 27.165, 27.177, 27.427, 28.1, 29.446, 30.722, 31.866, 37.839]"
ÖZEL TAN FEN LİSESİ (BURSA - NİLÜFER),35,"[758.0, 945.0, 1.008, 1.311, 1.858, 2.053, 2.792, 3.294, 3.577, 3.659, 3.771, 4.344, 4.377, 5.145, 7.43, 7.769, 9.162, 10.165, 11.527, 11.7, 12.236, 13.324, 13.45, 13.564, 15.038, 17.383, 17.828, 18.769, 22.581, 23.884, 27.815, 28.506, 29.446, 33.408, 38.208]"
BELEDİYE FEN LİSESİ (MUĞLA - FETHİYE),35,"[1.288, 1.734, 2.392, 5.29, 6.399, 8.917, 9.627, 12.683, 13.564, 14.988, 15.007, 17.273, 17.824, 18.333, 19.442, 20.419, 22.161, 22.233, 22.581, 24.094, 24.752, 25.654, 25.678, 25.78, 26.18, 27.595, 28.342, 28.376, 31.102, 31.183, 34.285, 34.778, 35.666, 37.839, 39.28]"
FAHREDDİN KERİM GÖKAY ANADOLU LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),34,"[2.388, 3.294, 3.658, 5.361, 5.725, 7.32, 7.43, 8.071, 9.025, 12.236, 12.342, 13.125, 16.371, 17.828, 18.6, 19.963, 20.037, 23.884, 24.589, 25.044, 27.165, 27.595, 27.815, 27.956, 28.376, 28.414, 29.065, 31.102, 33.932, 34.531, 35.831, 37.312, 38.243, 38.275]"
HASAN AYBABA ANADOLU LİSESİ (OSMANİYE - MERKEZ),34,"[1.935, 3.294, 5.145, 5.793, 6.545, 7.31, 7.32, 7.571, 8.58, 9.627, 10.612, 10.901, 12.236, 14.61, 17.273, 17.824, 18.333, 18.907, 21.168, 22.085, 23.323, 25.654, 25.811, 26.383, 27.177, 27.311, 31.66, 34.163, 34.627, 35.36, 35.968, 36.073, 36.077, 36.937]"
TED ANKARA KOLEJİ VAKFI ÖZEL LİSESİ (ANKARA - GÖLBAŞI),34,"[286.0, 1.242, 1.391, 1.603, 2.392, 2.826, 3.063, 3.577, 4.377, 5.199, 6.727, 7.32, 7.583, 8.734, 9.61, 9.716, 10.925, 11.527, 13.45, 15.007, 15.819, 16.052, 17.018, 20.245, 22.085, 25.811, 26.044, 30.913, 31.866, 32.228, 32.334, 35.652, 37.839, 39.206]"
TAVŞANLI 15 TEMMUZ ŞEHİTLER FEN LİSESİ (KÜTAHYA - TAVŞANLI),34,"[122.0, 1.242, 2.474, 3.577, 3.658, 4.27, 4.377, 5.29, 5.787, 6.066, 8.071, 8.201, 8.58, 10.165, 11.277, 13.176, 17.132, 17.273, 17.31, 17.828, 18.464, 19.139, 19.498, 20.156, 22.669, 23.323, 25.361, 25.654, 27.427, 28.1, 32.565, 35.079, 38.057, 38.608]"
ÖZEL RÜZGAR FEN LİSESİ (DİYARBAKIR - BAĞLAR),34,"[363.0, 1.008, 1.242, 1.935, 3.294, 5.145, 5.29, 5.725, 7.32, 8.262, 8.58, 9.627, 10.321, 10.612, 12.683, 13.324, 13.487, 14.61, 16.394, 16.761, 18.453, 18.769, 19.077, 26.18, 26.474, 27.815, 27.829, 30.09, 30.671, 34.888, 36.794, 38.208, 38.608, 39.047]"
İBRAHİM-SÜHEYLA İZMİRLİ FEN LİSESİ (ZONGULDAK - EREĞLİ),34,"[1.242, 1.935, 2.388, 3.577, 4.686, 5.29, 7.32, 10.165, 10.901, 11.527, 13.176, 13.487, 14.398, 15.038, 17.273, 18.907, 20.156, 22.161, 22.314, 22.581, 23.389, 23.451, 23.457, 26.897, 28.342, 29.883, 30.469, 30.796, 32.79, 34.778, 35.079, 35.288, 38.057, 39.558]"
RİZE TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (RİZE - MERKEZ),34,"[1.008, 1.676, 1.858, 5.145, 5.199, 7.43, 8.071, 8.201, 8.58, 9.589, 10.165, 10.901, 11.535, 11.7, 12.236, 12.683, 13.485, 15.007, 16.371, 17.071, 18.333, 18.464, 20.43, 23.272, 23.451, 23.884, 26.897, 27.829, 28.414, 29.446, 32.228, 32.688, 34.2, 36.271]"
GALATASARAY ÜNİVERSİTESİ GALATASARAY LİSESİ (İSTANBUL - BEYOĞLU),33,"[1.008, 1.348, 1.391, 2.053, 2.887, 3.063, 3.689, 3.771, 4.737, 4.91, 5.947, 6.205, 6.228, 6.399, 6.762, 8.58, 9.627, 9.716, 12.201, 12.463, 13.746, 16.394, 16.552, 17.018, 17.105, 17.31, 17.949, 18.6, 26.044, 26.676, 27.595, 27.815, 32.334]"
ORTAKLAR FEN LİSESİ (AYDIN - GERMENCİK),33,"[3.771, 4.377, 5.199, 5.29, 7.32, 8.58, 9.627, 10.165, 13.485, 14.988, 17.273, 17.383, 17.828, 18.6, 19.963, 20.037, 20.419, 22.161, 23.323, 23.451, 25.78, 26.345, 26.897, 27.427, 27.829, 28.1, 28.704, 31.183, 34.531, 34.778, 35.417, 35.831, 37.31]"
BAFRA FEN LİSESİ (SAMSUN - BAFRA),33,"[1.763, 1.858, 2.053, 2.388, 4.886, 4.91, 5.199, 5.947, 7.32, 8.58, 9.162, 9.627, 11.535, 12.286, 13.125, 13.485, 13.487, 14.245, 17.273, 17.828, 17.942, 18.719, 18.907, 20.245, 22.669, 23.094, 23.517, 24.461, 28.414, 29.182, 29.261, 32.228, 36.271]"
KADIKÖY ANADOLU İMAM HATİP LİSESİ (İSTANBUL - KADIKÖY),33,"[3.356, 3.658, 4.886, 5.145, 7.43, 8.071, 8.58, 9.589, 10.901, 11.277, 12.342, 13.125, 13.176, 13.973, 14.398, 17.132, 18.127, 18.907, 19.498, 20.06, 21.156, 22.314, 22.581, 23.884, 24.752, 26.805, 27.311, 29.719, 31.102, 34.219, 35.831, 38.275, 39.225]"
FATSA FEN LİSESİ (ORDU - FATSA),33,"[1.858, 1.935, 3.294, 8.201, 11.277, 11.535, 13.176, 13.487, 13.973, 15.007, 15.038, 16.552, 17.071, 17.828, 18.6, 18.719, 18.907, 23.517, 25.811, 27.413, 27.427, 28.1, 28.342, 30.469, 31.544, 32.79, 34.116, 35.288, 35.349, 35.417, 36.548, 38.2, 39.123]"
VECİHİ HÜRKUŞ ANADOLU LİSESİ (ANKARA - KEÇİÖREN),33,"[2.826, 6.31, 7.571, 8.201, 8.956, 9.627, 9.716, 10.139, 12.201, 13.25, 13.45, 13.485, 14.136, 15.007, 15.094, 15.66, 19.32, 21.103, 23.451, 25.654, 25.811, 26.18, 26.345, 27.586, 28.342, 30.038, 30.469, 30.608, 30.795, 31.085, 34.163, 36.937, 38.2]"
AKŞEHİR HACI SIDDIKA BAYSAL FEN LİSESİ (KONYA - AKŞEHİR),33,"[1.311, 1.858, 2.887, 4.686, 5.145, 5.725, 6.066, 7.721, 8.201, 9.627, 10.165, 10.779, 13.25, 13.485, 17.273, 18.662, 18.907, 20.156, 22.161, 23.323, 23.451, 24.094, 26.345, 26.382, 27.034, 27.956, 28.342, 32.565, 34.116, 34.285, 35.666, 36.271, 37.002]"
ÇANAKKALE FEN LİSESİ (ÇANAKKALE - MERKEZ),33,"[3.294, 3.658, 4.886, 5.361, 5.787, 6.639, 7.32, 7.583, 12.236, 12.683, 13.45, 15.038, 15.66, 17.018, 18.6, 20.037, 22.037, 23.272, 23.323, 23.389, 23.517, 24.752, 26.044, 26.18, 27.413, 27.815, 27.829, 31.102, 32.688, 34.531, 34.888, 36.548, 37.569]"
TARSUS ŞEHİT HALİL ÖZDEMİR FEN LİSESİ (MERSİN - TARSUS),33,"[1.734, 7.32, 8.201, 8.58, 9.627, 9.716, 10.612, 10.901, 11.7, 13.176, 14.61, 16.846, 17.273, 18.246, 18.333, 18.719, 20.156, 21.427, 22.085, 22.581, 23.272, 25.78, 26.106, 26.805, 27.034, 30.424, 31.66, 33.565, 34.285, 35.495, 38.608, 39.027, 39.123]"
İSMAİL SAFA ÖZLER ANADOLU LİSESİ (ADANA - ÇUKUROVA),33,"[2.792, 3.577, 3.771, 9.627, 10.165, 10.612, 11.527, 15.819, 16.846, 18.333, 19.22, 20.156, 21.103, 22.575, 23.284, 23.457, 25.78, 26.474, 27.034, 27.311, 27.595, 31.183, 31.493, 31.577, 31.66, 32.334, 33.05, 34.116, 34.285, 34.531, 36.073, 36.077, 38.608]"
SEVAL-AHMET ÇETİN FEN LİSESİ (TEKİRDAĞ - ÇERKEZKÖY),32,"[1.935, 3.659, 4.686, 7.721, 8.58, 9.162, 9.589, 10.165, 11.277, 12.342, 13.125, 15.007, 15.038, 15.66, 18.333, 18.6, 20.037, 20.962, 23.389, 23.783, 24.094, 24.589, 25.811, 27.165, 27.595, 27.956, 29.049, 30.722, 31.519, 33.854, 36.935, 38.057]"
GAZİANTEP ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),32,"[363.0, 1.935, 2.826, 3.577, 5.29, 7.32, 8.58, 11.733, 14.61, 16.761, 16.846, 17.273, 18.333, 20.037, 21.168, 22.085, 22.575, 23.451, 24.094, 25.654, 26.382, 27.311, 28.704, 30.469, 31.544, 31.66, 32.716, 33.097, 33.854, 36.077, 37.002, 38.2]"
KÖYCEĞİZ FEN LİSESİ (MUĞLA - KÖYCEĞİZ),32,"[1.935, 2.053, 3.577, 8.58, 9.745, 13.255, 14.988, 18.333, 18.6, 20.245, 20.419, 22.085, 22.192, 22.581, 23.323, 23.783, 23.884, 24.094, 24.589, 25.044, 27.595, 27.956, 28.664, 30.038, 33.863, 34.285, 34.888, 35.079, 35.417, 35.495, 36.548, 38.057]"
MALTEPE FEN LİSESİ (İSTANBUL - MALTEPE),32,"[4.035, 4.886, 4.91, 6.639, 7.32, 9.162, 9.589, 11.277, 12.236, 13.125, 13.176, 17.383, 18.6, 20.156, 22.581, 23.352, 23.36, 23.884, 24.264, 26.044, 26.18, 27.165, 27.829, 29.446, 31.102, 32.688, 33.408, 35.472, 35.652, 37.31, 38.232, 38.243]"
MALATYA FETHİ GEMUHLUOĞLU FEN LİSESİ (MALATYA - YEŞİLYURT),32,"[1.311, 1.676, 1.935, 2.826, 3.577, 3.659, 5.145, 5.725, 8.58, 9.627, 9.716, 10.321, 10.612, 12.236, 13.324, 13.973, 14.089, 14.136, 14.61, 19.015, 21.168, 23.451, 23.517, 25.044, 26.18, 27.177, 27.829, 30.608, 31.544, 32.688, 36.271, 36.548]"
ULUBATLI HASAN ANADOLU LİSESİ (BURSA - YILDIRIM),32,"[7.571, 8.58, 9.162, 10.165, 12.342, 13.324, 15.038, 16.089, 17.383, 18.6, 18.907, 19.963, 20.037, 20.156, 22.581, 23.884, 24.752, 25.361, 25.811, 27.165, 28.414, 28.664, 31.102, 32.79, 32.995, 34.116, 34.163, 35.666, 35.831, 38.243, 38.55, 39.392]"
MACİDE-RAMİZ TAŞKINLAR FEN LİSESİ (MANİSA - AKHİSAR),32,"[1.603, 3.659, 5.29, 6.31, 7.32, 12.683, 14.988, 15.038, 15.819, 16.089, 17.132, 17.383, 17.828, 18.719, 19.22, 20.33, 20.419, 22.581, 23.323, 23.36, 23.389, 23.451, 24.094, 25.361, 25.654, 28.342, 30.722, 31.183, 34.2, 35.288, 35.968, 37.002]"
ALTINŞEHİR ANADOLU LİSESİ (ADIYAMAN - MERKEZ),32,"[945.0, 5.199, 5.29, 8.58, 9.627, 9.716, 10.612, 11.277, 13.176, 13.485, 14.136, 14.61, 16.089, 16.846, 19.077, 19.498, 19.963, 20.037, 21.168, 23.284, 26.18, 26.429, 27.177, 27.311, 28.704, 29.065, 31.544, 35.36, 36.794, 38.608, 39.123, 39.392]"
NİŞANTAŞI NURİ AKIN ANADOLU LİSESİ (İSTANBUL - ŞİŞLİ),32,"[1.008, 2.963, 3.294, 3.356, 6.639, 8.262, 10.165, 11.277, 13.125, 16.371, 17.31, 19.015, 19.569, 20.06, 22.037, 22.192, 22.581, 23.451, 23.517, 23.884, 27.815, 27.956, 29.049, 29.261, 31.383, 31.493, 32.334, 34.643, 35.831, 36.002, 36.649, 38.2]"
AKYAZI EYYUP GENÇ FEN LİSESİ (SAKARYA - AKYAZI),32,"[4.099, 5.787, 8.58, 8.932, 11.733, 13.176, 16.089, 18.6, 18.907, 19.22, 22.314, 22.581, 23.36, 23.451, 25.78, 26.18, 27.595, 27.815, 27.829, 27.956, 28.1, 28.342, 31.493, 31.544, 32.79, 33.932, 34.627, 35.079, 36.548, 37.839, 38.136, 39.558]"
ŞEHİT MUSTAFA SERİN FEN LİSESİ (BALIKESİR - EDREMİT),31,"[945.0, 1.242, 1.288, 1.935, 3.659, 3.787, 4.099, 6.639, 7.32, 10.165, 15.038, 17.018, 17.828, 18.6, 20.419, 22.581, 23.272, 23.323, 23.451, 23.583, 24.13, 25.044, 25.654, 26.345, 27.177, 27.595, 34.116, 34.285, 35.496, 37.839, 38.057]"
YEŞİLKÖY ANADOLU LİSESİ (İSTANBUL - BAKIRKÖY),31,"[2.388, 3.689, 4.377, 5.145, 7.31, 8.071, 9.589, 11.277, 12.463, 12.683, 13.125, 13.176, 13.177, 13.547, 16.371, 16.394, 16.552, 20.06, 21.23, 23.272, 24.768, 27.829, 27.956, 28.376, 29.883, 31.383, 31.493, 32.688, 33.408, 34.281, 35.831]"
BÜYÜKÇEKMECE ATATÜRK ANADOLU LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),31,"[3.294, 3.658, 5.145, 7.43, 9.716, 10.612, 10.795, 11.733, 12.236, 13.125, 17.949, 18.127, 18.453, 18.6, 20.06, 20.156, 22.314, 23.272, 24.589, 25.811, 26.18, 26.383, 26.676, 27.815, 28.376, 29.261, 31.102, 32.688, 37.31, 38.057, 38.243]"
M.EMİN SARAÇ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - BAŞAKŞEHİR),30,"[1.348, 2.053, 3.294, 3.658, 4.686, 7.43, 9.025, 9.589, 10.484, 11.324, 11.733, 12.336, 12.531, 13.125, 16.371, 16.409, 18.907, 19.963, 23.272, 23.884, 26.345, 26.792, 27.516, 27.956, 28.1, 31.102, 33.854, 34.219, 35.079, 37.312]"
HATAY FEN LİSESİ (HATAY - ANTAKYA),30,"[1.242, 2.408, 4.122, 5.199, 5.29, 5.787, 6.639, 8.58, 10.139, 10.165, 10.612, 14.61, 15.033, 15.66, 16.846, 17.132, 17.273, 17.828, 17.942, 18.246, 20.156, 21.168, 22.581, 26.429, 30.608, 31.449, 31.66, 33.565, 35.288, 38.608]"
BOR ŞEHİT RAMAZAN KONUŞ FEN LİSESİ (NİĞDE - BOR),30,"[1.603, 1.804, 4.099, 5.145, 5.199, 9.627, 10.165, 10.795, 11.519, 13.25, 13.255, 14.089, 14.61, 15.66, 15.819, 18.118, 18.662, 19.498, 22.161, 23.272, 23.323, 25.78, 25.811, 26.18, 27.034, 28.1, 28.342, 29.182, 33.565, 34.888]"
REFİK ARSLAN ÖZTÜRK FEN LİSESİ (BİLECİK - MERKEZ),30,"[945.0, 3.113, 3.294, 4.886, 5.29, 6.399, 7.42, 9.627, 10.165, 10.901, 13.176, 14.988, 15.007, 15.038, 17.383, 17.824, 18.907, 19.569, 21.427, 22.581, 26.805, 27.595, 27.815, 28.342, 28.565, 29.049, 32.228, 34.2, 36.548, 39.558]"
SELÇUK ANADOLU LİSESİ (SİVAS - MERKEZ),30,"[5.145, 5.199, 7.32, 7.571, 8.201, 8.58, 9.61, 10.165, 12.683, 13.487, 13.973, 15.66, 17.018, 17.273, 18.118, 21.427, 23.783, 25.811, 26.345, 26.897, 27.427, 28.414, 30.608, 30.913, 31.788, 33.097, 35.496, 37.569, 38.208, 39.392]"
AKÇAABAT FEN LİSESİ (TRABZON - AKÇAABAT),30,"[1.242, 2.408, 4.686, 5.725, 5.946, 7.571, 8.201, 9.162, 9.716, 10.165, 11.277, 12.342, 13.176, 15.038, 15.094, 15.66, 16.761, 18.719, 19.22, 23.094, 23.517, 23.583, 26.18, 26.897, 27.427, 27.586, 28.342, 28.414, 36.271, 39.123]"
ÖZEL NESİBE AYDIN FEN LİSESİ (ANKARA - GÖLBAŞI),30,"[452.0, 1.008, 1.603, 1.858, 1.935, 2.086, 2.392, 3.063, 3.577, 3.659, 5.787, 6.128, 6.727, 10.925, 11.318, 12.683, 13.45, 15.007, 15.038, 16.052, 18.145, 18.769, 26.829, 29.316, 30.608, 31.449, 31.866, 33.937, 35.574, 39.206]"
ENERJİSA BANDIRMA FEN LİSESİ (BALIKESİR - BANDIRMA),30,"[758.0, 2.408, 5.947, 7.32, 8.917, 12.683, 14.61, 15.038, 15.094, 17.942, 19.705, 21.168, 22.581, 23.36, 23.451, 23.457, 23.884, 24.51, 24.589, 26.044, 26.18, 26.805, 27.034, 28.1, 31.183, 31.493, 32.79, 33.211, 34.285, 35.831]"
ÇİĞLİ FEN LİSESİ (İZMİR - ÇİĞLİ),30,"[2.792, 3.294, 3.771, 4.91, 5.29, 6.762, 7.32, 9.162, 10.321, 10.795, 12.683, 17.273, 17.828, 18.6, 20.33, 22.085, 22.192, 22.581, 23.272, 23.457, 27.177, 27.413, 29.182, 29.719, 31.102, 31.183, 34.163, 34.888, 36.935, 38.2]"
KAMİL MİRAS ANADOLU LİSESİ (AFYONKARAHİSAR - MERKEZ),30,"[3.689, 7.42, 8.58, 13.25, 13.973, 15.007, 15.819, 19.498, 19.705, 22.161, 22.314, 23.272, 24.094, 24.752, 25.361, 26.18, 27.177, 27.516, 27.586, 28.1, 28.236, 28.704, 29.333, 31.183, 32.334, 32.565, 32.79, 35.36, 35.496, 36.438]"
SAMİ YANGIN ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),29,"[2.388, 5.199, 6.066, 7.43, 8.201, 9.589, 9.745, 14.136, 17.273, 17.824, 17.828, 18.118, 18.662, 19.442, 21.427, 22.085, 23.094, 25.654, 25.811, 26.18, 28.1, 28.414, 29.182, 29.19, 30.608, 31.544, 33.097, 34.116, 39.027]"
İSTİKLAL MAKZUME ANADOLU LİSESİ (HATAY - İSKENDERUN),29,"[3.577, 4.686, 5.946, 8.58, 9.627, 10.612, 12.531, 15.038, 17.132, 20.06, 20.419, 21.103, 21.168, 21.427, 22.085, 23.272, 23.389, 25.654, 25.78, 26.429, 28.1, 28.342, 30.608, 31.66, 32.716, 33.565, 34.037, 34.888, 36.077]"
SAMSUN ANADOLU LİSESİ (SAMSUN - İLKADIM),29,"[4.377, 10.321, 11.535, 12.201, 12.342, 13.125, 13.487, 15.038, 16.089, 17.071, 18.719, 20.156, 23.094, 23.517, 24.13, 24.461, 25.811, 26.18, 26.383, 27.586, 28.342, 29.049, 31.544, 32.946, 34.627, 35.36, 36.271, 38.2, 39.123]"
BURSA ERKEK LİSESİ (BURSA - OSMANGAZİ),29,"[6.066, 7.32, 9.589, 10.321, 10.901, 11.277, 13.176, 13.255, 14.089, 14.398, 15.038, 17.828, 19.22, 19.442, 20.037, 22.581, 23.389, 23.451, 24.461, 24.752, 25.811, 27.413, 27.586, 28.342, 30.722, 33.932, 34.116, 38.243, 39.047]"
ŞEHİT MUHAMMET MUSTAFA KARABÖRK FEN LİSESİ (OSMANİYE - KADİRLİ),29,"[1.288, 3.577, 5.199, 5.787, 6.31, 7.571, 8.201, 9.61, 9.627, 9.716, 10.612, 12.342, 13.25, 14.61, 15.033, 16.846, 20.156, 20.419, 21.168, 21.427, 24.094, 25.654, 27.034, 27.311, 27.586, 31.66, 33.565, 34.285, 39.558]"
SELÇUKLU ANADOLU LİSESİ (KONYA - SELÇUKLU),29,"[945.0, 1.348, 2.792, 3.577, 4.686, 5.145, 5.787, 7.43, 7.571, 8.58, 13.25, 15.007, 15.66, 17.273, 19.32, 19.963, 19.973, 20.156, 22.161, 22.192, 25.78, 26.805, 27.034, 31.866, 32.565, 34.285, 35.496, 35.968, 36.937]"
AHMET HAMDİ GÖKBAYRAK FEN LİSESİ (BURSA - OSMANGAZİ),29,"[1.288, 1.734, 1.763, 5.145, 6.639, 6.762, 10.165, 13.176, 13.177, 17.828, 18.6, 18.662, 18.907, 19.015, 20.962, 23.323, 23.36, 24.752, 25.78, 25.986, 26.345, 26.897, 29.065, 30.038, 32.688, 34.778, 38.243, 38.275, 39.558]"
NEVŞEHİR FEVZİ DİRİKOÇ FEN LİSESİ (NEVŞEHİR - MERKEZ),29,"[1.288, 2.792, 3.294, 3.577, 5.725, 5.946, 7.43, 7.571, 8.201, 10.612, 13.973, 14.136, 18.118, 20.037, 21.427, 22.161, 23.517, 24.963, 25.654, 25.78, 25.811, 26.345, 27.034, 27.427, 30.469, 31.449, 31.544, 36.937, 39.392]"
75.YIL FEN LİSESİ (MERSİN - AKDENİZ),29,"[3.577, 5.145, 5.29, 7.32, 7.721, 8.956, 9.589, 9.627, 11.535, 13.125, 13.485, 14.61, 15.038, 15.819, 17.132, 18.719, 19.077, 22.085, 23.448, 23.451, 23.783, 24.13, 27.177, 27.815, 29.182, 29.333, 30.038, 31.66, 39.392]"
