High School,Total_Instances,Success_Ranks
GAZİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),75,"[1.242, 1.603, 2.053, 2.086, 2.408, 2.826, 3.035, 3.063, 3.577, 3.659, 5.199, 5.787, 6.128, 6.31, 7.31, 7.571, 7.583, 8.201, 9.025, 9.175, 9.61, 9.627, 9.716, 9.745, 10.165, 11.527, 11.89, 12.9, 13.25, 13.255, 13.485, 13.564, 14.136, 15.007, 15.038, 15.66, 15.819, 17.018, 17.824, 18.131, 18.145, 18.333, 18.714, 19.22, 19.32, 19.498, 20.156, 20.538, 21.103, 21.427, 22.085, 22.161, 22.233, 23.323, 23.389, 23.451, 25.811, 26.18, 26.383, 27.516, 27.595, 28.565, 30.424, 30.608, 31.866, 32.228, 32.334, 34.163, 35.288, 35.349, 35.496, 35.652, 36.937, 37.839, 38.038]"
SAMSUN GARİP ZEYCAN YILDIRIM FEN LİSESİ (SAMSUN - ATAKUM),74,"[945.0, 1.008, 1.242, 1.288, 1.348, 1.419, 1.603, 1.676, 1.935, 2.388, 2.392, 2.408, 2.681, 2.792, 2.826, 2.963, 3.577, 3.659, 4.344, 4.686, 4.737, 5.145, 5.199, 5.725, 5.787, 5.946, 6.31, 6.399, 7.32, 7.571, 7.583, 8.201, 9.175, 9.61, 9.627, 9.716, 11.535, 11.7, 12.236, 13.255, 13.487, 15.007, 15.038, 15.819, 16.371, 17.071, 17.273, 17.828, 18.907, 19.32, 20.06, 21.427, 22.314, 22.581, 23.457, 23.517, 23.583, 23.884, 24.13, 26.345, 26.897, 27.516, 28.414, 28.565, 29.182, 30.09, 31.493, 31.544, 33.408, 33.854, 34.888, 36.073, 38.057, 38.243]"
TOFAŞ FEN LİSESİ (BURSA - NİLÜFER),74,"[286.0, 758.0, 1.008, 1.288, 1.348, 1.676, 1.858, 1.935, 2.053, 3.035, 3.294, 3.658, 3.659, 4.122, 4.344, 4.377, 4.886, 4.91, 5.145, 5.199, 5.29, 5.725, 5.787, 6.399, 6.639, 7.296, 7.32, 7.43, 8.071, 8.58, 9.627, 10.165, 10.795, 11.277, 11.535, 11.733, 12.201, 12.683, 12.9, 13.125, 13.176, 13.564, 13.973, 14.398, 15.217, 17.132, 17.273, 17.383, 17.824, 17.828, 17.942, 18.662, 18.907, 19.498, 20.037, 20.419, 20.962, 22.181, 22.581, 23.323, 23.451, 23.517, 26.161, 26.805, 26.897, 27.165, 27.75, 27.956, 29.049, 29.446, 29.719, 30.038, 35.968, 36.278]"
ADANA FEN LİSESİ (ADANA - SEYHAN),73,"[122.0, 254.0, 286.0, 363.0, 758.0, 945.0, 1.008, 1.242, 1.348, 1.603, 1.763, 1.858, 1.935, 2.053, 3.035, 3.063, 3.113, 3.294, 3.577, 3.658, 3.659, 3.771, 4.27, 4.344, 4.377, 4.686, 4.886, 5.199, 5.29, 5.725, 6.205, 6.228, 6.31, 6.639, 7.296, 7.32, 7.571, 8.566, 8.58, 8.932, 9.716, 10.612, 10.901, 12.201, 12.342, 13.25, 14.089, 14.136, 14.61, 15.033, 15.038, 15.66, 15.819, 16.846, 17.273, 17.31, 17.824, 18.769, 20.156, 22.085, 22.181, 22.575, 22.581, 23.284, 23.323, 23.451, 25.044, 26.044, 27.177, 29.261, 30.795, 31.866, 38.057]"
BORNOVA ANADOLU LİSESİ (İZMİR - BORNOVA),73,"[1.348, 1.858, 2.792, 3.294, 3.658, 5.29, 7.31, 7.32, 7.43, 8.58, 9.287, 9.627, 10.321, 10.795, 11.277, 11.527, 12.342, 12.463, 12.683, 13.125, 13.176, 13.564, 15.007, 15.038, 15.094, 16.089, 16.761, 17.018, 17.273, 17.383, 17.828, 17.942, 18.333, 19.569, 20.156, 20.33, 20.419, 22.581, 23.36, 23.389, 23.457, 23.914, 24.094, 24.963, 25.044, 25.361, 25.986, 26.044, 26.383, 26.676, 27.413, 27.427, 29.182, 29.719, 30.796, 31.183, 31.383, 32.58, 32.688, 32.946, 34.037, 34.2, 34.531, 34.643, 34.692, 34.778, 34.888, 35.349, 35.968, 36.423, 37.002, 37.31, 37.839]"
VEHBİ DİNÇERLER FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),72,"[31.0, 286.0, 363.0, 452.0, 1.008, 1.242, 1.311, 1.348, 1.603, 1.676, 1.935, 2.887, 2.963, 3.035, 3.113, 3.294, 3.356, 3.577, 3.658, 3.689, 4.27, 4.377, 5.145, 5.199, 5.29, 5.947, 6.639, 7.32, 7.43, 7.571, 7.769, 8.201, 8.566, 8.58, 9.627, 9.716, 10.165, 10.612, 10.901, 11.277, 12.201, 12.683, 13.25, 13.324, 13.485, 14.136, 14.61, 16.846, 17.383, 17.824, 18.333, 18.767, 18.907, 20.156, 22.575, 23.284, 25.654, 26.382, 26.474, 27.177, 27.427, 27.55, 28.704, 30.469, 32.716, 33.408, 35.36, 36.073, 36.937, 37.891, 38.057, 39.123]"
ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),71,"[286.0, 363.0, 386.0, 452.0, 758.0, 945.0, 1.008, 1.242, 1.603, 1.676, 1.858, 1.935, 2.086, 2.388, 2.392, 2.408, 2.474, 2.792, 2.826, 2.887, 3.035, 3.577, 3.658, 3.659, 3.771, 4.27, 4.344, 4.377, 5.199, 6.066, 6.31, 7.31, 7.32, 7.571, 8.201, 8.566, 9.61, 10.386, 10.612, 11.438, 11.733, 12.342, 12.683, 13.25, 13.255, 13.45, 13.487, 14.089, 14.136, 14.61, 14.988, 15.007, 15.033, 16.052, 17.071, 18.769, 18.907, 19.32, 20.156, 23.323, 26.044, 26.18, 27.311, 27.516, 27.586, 27.829, 28.342, 28.414, 28.565, 30.795, 35.349]"
KADIKÖY ANADOLU LİSESİ (İSTANBUL - KADIKÖY),70,"[1.008, 1.288, 1.311, 1.858, 2.053, 2.388, 2.774, 2.963, 3.294, 3.356, 3.658, 3.659, 3.689, 4.91, 5.145, 5.361, 5.947, 6.399, 6.639, 6.762, 7.43, 7.721, 9.025, 9.61, 9.627, 11.277, 11.7, 11.733, 12.817, 13.176, 13.177, 13.255, 13.485, 13.547, 13.746, 13.973, 14.245, 14.398, 15.094, 15.66, 17.488, 17.949, 18.127, 18.6, 19.015, 20.037, 21.156, 21.23, 22.037, 22.192, 22.581, 23.36, 23.457, 23.884, 26.044, 27.595, 27.815, 27.829, 29.049, 29.261, 31.383, 31.493, 32.688, 33.05, 33.211, 33.408, 34.888, 36.423, 37.31, 38.243]"
KABATAŞ ERKEK LİSESİ (İSTANBUL - BEŞİKTAŞ),69,"[386.0, 758.0, 1.008, 1.242, 1.288, 1.311, 1.348, 1.763, 1.858, 1.935, 2.388, 2.544, 3.294, 3.771, 4.344, 4.886, 5.145, 5.947, 6.228, 6.399, 6.639, 7.32, 7.42, 7.43, 7.571, 7.721, 8.071, 8.262, 9.589, 10.484, 10.901, 11.277, 11.7, 12.286, 12.342, 12.463, 13.176, 13.487, 13.547, 13.713, 13.746, 15.094, 15.684, 16.552, 17.383, 17.89, 18.6, 19.077, 19.569, 22.037, 22.085, 22.581, 23.431, 23.451, 23.457, 24.589, 25.282, 25.722, 26.044, 26.383, 27.165, 27.815, 27.956, 30.322, 31.788, 33.408, 34.692, 38.038, 38.136]"
SEYHAN BORSA İSTANBUL FEN LİSESİ (ADANA - SEYHAN),69,"[286.0, 452.0, 1.008, 1.242, 1.348, 1.603, 1.763, 1.858, 1.935, 2.053, 3.294, 3.577, 4.344, 5.199, 6.066, 6.128, 6.639, 7.32, 7.43, 8.201, 8.58, 9.61, 9.627, 9.716, 10.165, 10.612, 11.7, 12.286, 12.342, 12.463, 12.683, 14.398, 14.61, 15.007, 15.033, 15.66, 16.761, 16.846, 17.273, 17.31, 18.333, 19.139, 19.442, 20.037, 20.419, 21.427, 22.233, 22.575, 23.451, 23.646, 24.13, 24.461, 26.044, 26.382, 26.429, 27.165, 27.177, 27.311, 28.1, 29.261, 29.446, 31.66, 33.565, 33.932, 35.652, 36.077, 36.794, 38.243, 39.392]"
